Azimuth Angle,Flap,FlapRate,FlapAcceleration,PitchLinkMoment
0,0.0884375,0.770728,-92.6187,-3.14264
0.0174533,0.0890798,0.693545,-92.6878,-1.86357
0.0349066,0.0896577,0.616305,-92.71,-0.549186
0.0523599,0.0901713,0.539047,-92.6766,0.752671
0.0698132,0.0906205,0.461817,-92.5656,1.88303
0.0872665,0.0910054,0.384679,-92.3963,2.92997
0.10472,0.0913259,0.307682,-92.1803,3.93901
0.122173,0.0915823,0.230865,-91.9263,5.05242
0.139626,0.0917747,0.15426,-91.6151,6.13825
0.15708,0.0919033,0.0779137,-91.2406,7.17202
0.174533,0.0919682,0.00187992,-90.8192,8.23163
0.191986,0.0919698,-0.0738027,-90.3539,9.33419
0.20944,0.0919083,-0.149098,-89.8468,10.4896
0.226893,0.091784,-0.22397,-89.2792,11.5613
0.244346,0.0915974,-0.298369,-88.6549,12.567
0.261799,0.0913487,-0.372248,-87.9852,13.5812
0.279253,0.0910385,-0.445569,-87.2729,14.6214
0.296706,0.0906672,-0.518297,-86.5239,15.6858
0.314159,0.0902353,-0.5904,-85.7226,16.6631
0.331613,0.0897433,-0.661836,-84.869,17.5534
0.349066,0.0891918,-0.73256,-83.9728,18.4383
0.366519,0.0885813,-0.802537,-83.0372,19.3361
0.383972,0.0879125,-0.871735,-82.0638,20.2529
0.401426,0.0871861,-0.940121,-81.0515,21.1539
0.418879,0.0864026,-1.00766,-79.9943,21.9568
0.436332,0.0855629,-1.07433,-78.8993,22.7393
0.453786,0.0846677,-1.14008,-77.7731,23.5027
0.471239,0.0837176,-1.20489,-76.6151,24.2702
0.488692,0.0827135,-1.26873,-75.4259,25.0516
0.506145,0.0816562,-1.33159,-74.2045,25.8059
0.523599,0.0805466,-1.39342,-72.9488,26.491
0.541052,0.0793854,-1.45421,-71.6638,27.1611
0.558505,0.0781736,-1.51393,-70.3519,27.826
0.575959,0.0769119,-1.57256,-69.0152,28.4937
0.593412,0.0756015,-1.63007,-67.6553,29.1654
0.610865,0.0742431,-1.68645,-66.2736,29.8408
0.628319,0.0728377,-1.74168,-64.8682,30.4577
0.645772,0.0713863,-1.79574,-63.4419,31.0488
0.663225,0.0698899,-1.84861,-61.9969,31.6258
0.680678,0.0683493,-1.90027,-60.5371,32.1973
0.698132,0.0667658,-1.95072,-59.0632,32.7674
0.715585,0.0651402,-1.99994,-57.576,33.3345
0.733038,0.0634736,-2.04792,-56.0774,33.9014
