Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0,0.33528,0.029451,-1.41791,0.332146,1.45659
0,1.00584,0.0132104,-1.45187,0.148986,1.45956
0,1.6764,0.0219184,-3.2402,0.247194,3.24969
0,2.34696,0.0339231,-5.88527,0.382582,5.89779
0,3.01752,0.048667,-9.34417,0.548863,9.36041
0,3.68808,0.0660152,-13.5985,0.744514,13.6191
0,4.35864,0.0862847,-18.718,0.973113,18.7435
0,5.0292,0.109472,-24.7107,1.23462,24.7417
0,5.69976,0.13649,-31.7949,1.53933,31.8324
0,6.37032,0.166555,-39.8035,1.8784,39.8482
0.0174533,0.33528,0.0535876,-1.46885,0.312871,1.50276
0.0174533,1.00584,0.0384302,-1.47164,0.142648,1.47903
0.0174533,1.6764,0.077802,-3.25826,0.234287,3.2676
0.0174533,2.34696,0.135077,-5.89795,0.359654,5.91044
0.0174533,3.01752,0.208075,-9.30763,0.510583,9.32394
0.0174533,3.68808,0.298495,-13.5646,0.690979,13.5854
0.0174533,4.35864,0.405186,-18.6185,0.897775,18.6446
0.0174533,5.0292,0.529427,-24.5289,1.13371,24.5607
0.0174533,5.69976,0.674503,-31.4498,1.40541,31.4884
0.0174533,6.37032,0.837458,-39.2458,1.70626,39.2918
0.0349066,0.33528,0.0781413,-1.48973,0.290357,1.51978
0.0349066,1.00584,0.0641519,-1.48679,0.135983,1.49437
0.0349066,1.6764,0.135144,-3.29602,0.222827,3.30631
0.0349066,2.34696,0.23645,-5.90409,0.336556,5.9184
0.0349066,3.01752,0.367999,-9.31419,0.475141,9.33356
0.0349066,3.68808,0.529505,-13.5205,0.637644,13.5459
0.0349066,4.35864,0.720287,-18.5061,0.823097,18.5384
0.0349066,5.0292,0.942482,-24.326,1.03384,24.3662
0.0349066,5.69976,1.19982,-31.0776,1.27361,31.1269
0.0349066,6.37032,1.48816,-38.6543,1.53767,38.7135
0.0523599,0.33528,0.100323,-1.46167,0.261982,1.48835
0.0523599,1.00584,0.0911928,-1.51456,0.130531,1.5229
0.0523599,1.6764,0.193613,-3.32975,0.211046,3.34205
0.0523599,2.34696,0.338786,-5.92146,0.314291,5.93946
0.0523599,3.01752,0.527892,-9.31327,0.439628,9.33857
0.0523599,3.68808,0.758672,-13.4664,0.584593,13.5004
0.0523599,4.35864,1.03113,-18.3808,0.749184,18.4249
0.0523599,5.0292,1.34782,-24.1023,0.935177,24.1581
0.0523599,5.69976,1.71231,-30.695,1.14476,30.7641
0.0523599,6.37032,2.12336,-38.1375,1.37679,38.2214
0.0698132,0.33528,0.100879,-1.18681,0.196385,1.20717
0.0698132,1.00584,0.119474,-1.54533,0.125301,1.555
0.0698132,1.6764,0.253031,-3.35932,0.198977,3.3747
0.0698132,2.34696,0.442772,-5.95059,0.292738,5.97422
0.0698132,3.01752,0.687468,-9.30483,0.404108,9.33893
0.0698132,3.68808,0.985628,-13.4022,0.531913,13.449
0.0698132,4.35864,1.33821,-18.2559,0.676633,18.3174
0.0698132,5.0292,1.75042,-23.937,0.840696,24.0157
