Azimuth Angle,Flap,FlapRate,FlapAcceleration,PitchLinkMoment
0,-0.00153821,-0.0123563,-22.0283,17.9582
0.0174533,-0.00154851,-0.0307133,-22.0184,17.962
0.0349066,-0.00157411,-0.0490619,-22.0018,17.9658
0.0523599,-0.00161499,-0.0673967,-21.9785,17.9697
0.0698132,-0.00167115,-0.0857122,-21.9487,17.9736
0.0872665,-0.00174258,-0.104003,-21.9122,17.9774
0.10472,-0.00182925,-0.122263,-21.8691,17.9813
0.122173,-0.00193114,-0.140487,-21.8195,17.9852
0.139626,-0.00204821,-0.15867,-21.7632,17.9891
0.15708,-0.00218043,-0.176806,-21.7004,17.993
0.174533,-0.00232777,-0.19489,-21.631,17.9969
0.191986,-0.00249018,-0.212916,-21.5551,18.0008
0.20944,-0.00266761,-0.230878,-21.4727,18.0047
0.226893,-0.00286001,-0.248772,-21.3839,18.0086
0.244346,-0.00306732,-0.266592,-21.2885,18.0125
0.261799,-0.00328948,-0.284333,-21.1867,18.0164
0.279253,-0.00352642,-0.301988,-21.0786,18.0203
0.296706,-0.00377808,-0.319554,-20.964,18.0242
0.314159,-0.00404437,-0.337024,-20.8431,18.028
0.331613,-0.00432523,-0.354393,-20.7159,18.0319
0.349066,-0.00462056,-0.371656,-20.5824,18.0357
0.366519,-0.00493027,-0.388808,-20.4427,18.0396
0.383972,-0.00525428,-0.405844,-20.2968,18.0434
0.401426,-0.00559248,-0.422758,-20.1448,18.0472
0.418879,-0.00594478,-0.439545,-19.9866,18.0509
0.436332,-0.00631106,-0.456201,-19.8224,18.0547
0.453786,-0.00669123,-0.472719,-19.6521,18.0584
0.471239,-0.00708516,-0.489096,-19.4759,18.0621
0.488692,-0.00749274,-0.505326,-19.2938,18.0657
0.506145,-0.00791385,-0.521404,-19.1058,18.0694
0.523599,-0.00834835,-0.537326,-18.912,18.073
0.541052,-0.00879612,-0.553086,-18.7125,18.0765
0.558505,-0.00925703,-0.568679,-18.5072,18.08
0.575959,-0.00973093,-0.584102,-18.2964,18.0835
0.593412,-0.0102177,-0.599349,-18.0799,18.087
0.610865,-0.0107171,-0.614416,-17.8579,18.0904
0.628319,-0.0112292,-0.629297,-17.6305,18.0937
0.645772,-0.0117536,-0.643989,-17.3977,18.097
0.663225,-0.0122902,-0.658487,-17.1595,18.1003
0.680678,-0.012839,-0.672787,-16.9162,18.1035
0.698132,-0.0133996,-0.686884,-16.6676,18.1066
0.715585,-0.013972,-0.700774,-16.4139,18.1097
0.733038,-0.014556,-0.714452,-16.1553,18.1128
0.750492,-0.0151514,-0.727915,-15.8916,18.1158
0.767945,-0.015758,-0.741158,-15.6231,18.1187
0.785398,-0.0163756,-0.754177,-15.3497,18.1215
0.802851,-0.0170041,-0.766968,-15.0717,18.1243
0.820305,-0.0176432,-0.779528,-14.789,18.127
0.837758,-0.0182928,-0.791852,-14.5018,18.1297
0.855211,-0.0189527,-0.803937,-14.21,18.1322
0.872665,-0.0196227,-0.815779,-13.9139,18.1347
0.890118,-0.0203025,-0.827374,-13.6135,18.1371
0.907571,-0.0209919,-0.838718,-13.3089,18.1395
0.925025,-0.0216909,-0.849809,-13.0002,18.1417
0.942478,-0.0223991,-0.860642,-12.6874,18.1439
0.959931,-0.0231163,-0.871215,-12.3707,18.146
0.977384,-0.0238423,-0.881524,-12.0501,18.148
0.994838,-0.0245769,-0.891566,-11.7258,18.1499
1.01229,-0.0253198,-0.901337,-11.3979,18.1518
1.02974,-0.026071,-0.910836,-11.0664,18.1535
1.0472,-0.02683,-0.920058,-10.7314,18.1552
1.06465,-0.0275967,-0.929,-10.3931,18.1567
