Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0,0.33528,0.920908,0.225356,-0.0728711,0.350339,0.0211229
0,1.00584,1.45438,0.0262001,0.00659589,0.222023,0.0620123
0,1.6764,1.33833,0.0210995,0.00264614,0.195806,0.103111
0,2.34696,1.28094,0.0195685,0.00104906,0.184536,0.14424
0,3.01752,1.248,0.0188023,0.000191848,0.178267,0.185379
0,3.68808,1.22694,0.0183215,-0.00034862,0.174276,0.226523
0,4.35864,1.21146,0.0180589,-0.000669037,0.171511,0.267669
0,5.0292,1.20488,0.0179088,-0.000405307,0.169483,0.308817
0,5.69976,1.21839,0.0179414,0.00166612,0.167932,0.349966
0,6.37032,1.2336,0.017982,0.00367878,0.166708,0.391115
0.0174533,0.33528,0.954982,0.194005,-0.0627368,0.329945,0.0231238
0.0174533,1.00584,1.43141,0.0248986,0.00574552,0.216349,0.0640354
0.0174533,1.6764,1.31707,0.0204091,0.00198962,0.191414,0.105129
0.0174533,2.34696,1.25972,0.0190749,0.0004968,0.180497,0.146251
0.0174533,3.01752,1.22749,0.0183307,-0.000337376,0.174373,0.187383
0.0174533,3.68808,1.20554,0.0179584,-0.0007917,0.170453,0.228519
0.0174533,4.35864,1.19029,0.0176997,-0.0011074,0.167729,0.269658
0.0174533,5.0292,1.18487,0.0175519,-0.000768767,0.165726,0.310798
0.0174533,5.69976,1.19827,0.0175491,0.00114939,0.164192,0.351939
0.0174533,6.37032,1.21335,0.017554,0.0030097,0.162979,0.393081
0.0349066,0.33528,0.997861,0.166123,-0.0526521,0.312386,0.0251301
0.0349066,1.00584,1.40919,0.0236391,0.00492254,0.210858,0.0660592
0.0349066,1.6764,1.29433,0.01988,0.00139755,0.187084,0.107148
0.0349066,2.34696,1.23868,0.0185855,-5.07832e-05,0.176493,0.148264
0.0349066,3.01752,1.20581,0.017963,-0.00078615,0.170501,0.189389
0.0349066,3.68808,1.18423,0.0175969,-0.00123285,0.166647,0.230518
0.0349066,4.35864,1.16918,0.0173417,-0.00154428,0.16396,0.27165
0.0349066,5.0292,1.1649,0.0171925,-0.00114536,0.16198,0.312783
0.0349066,5.69976,1.17819,0.0171542,0.000619782,0.16046,0.353918
0.0349066,6.37032,1.19313,0.0171235,0.00232791,0.159256,0.395053
0.0523599,0.33528,1.05614,0.139484,-0.0418305,0.29704,0.02714
0.0523599,1.00584,1.3848,0.0226796,0.00411883,0.205534,0.0680829
0.0523599,1.6764,1.2719,0.0193582,0.000813761,0.182815,0.109168
0.0523599,2.34696,1.21713,0.018155,-0.00055176,0.172523,0.150278
0.0523599,3.01752,1.18426,0.0175974,-0.00123217,0.166653,0.191397
0.0523599,3.68808,1.16302,0.0172371,-0.00167191,0.162859,0.23252
0.0523599,4.35864,1.14816,0.016985,-0.00197948,0.160205,0.273646
0.0523599,5.0292,1.14498,0.0168308,-0.00153487,0.158245,0.314773
0.0523599,5.69976,1.15803,0.0167657,8.96598e-05,0.156738,0.355902
0.0523599,6.37032,1.17237,0.0167378,0.00170333,0.155543,0.39703
0.0698132,0.33528,1.24076,0.0980553,-0.0202016,0.283455,0.029152
0.0698132,1.00584,1.36011,0.0218402,0.00333652,0.200367,0.0701061
0.0698132,1.6764,1.24978,0.0188437,0.000238085,0.178605,0.111187
0.0698132,2.34696,1.1951,0.0177813,-0.00100781,0.168588,0.152292
0.0698132,3.01752,1.16285,0.0172343,-0.00167527,0.16283,0.193406
0.0698132,3.68808,1.14191,0.0168791,-0.00210869,0.15909,0.234525
0.0698132,4.35864,1.12707,0.0166418,-0.00239933,0.156467,0.275645
0.0698132,5.0292,1.12441,0.0165217,-0.0018706,0.154524,0.316767
0.0698132,5.69976,1.13683,0.0164636,-0.000331576,0.153028,0.35789
0.0698132,6.37032,1.15082,0.0164178,0.00116734,0.15184,0.399013
0.0872665,0.33528,1.39808,0.067061,-0.00386768,0.271294,0.0311646
0.0872665,1.00584,1.33612,0.0210245,0.00257621,0.195344,0.0721281
0.0872665,1.6764,1.22794,0.0183385,-0.000327885,0.174454,0.113206
0.0872665,2.34696,1.17327,0.0174111,-0.00145959,0.16469,0.154307
0.0872665,3.01752,1.1416,0.0168738,-0.00211519,0.159034,0.195417
0.0872665,3.68808,1.1205,0.016557,-0.00250475,0.155344,0.236531
0.0872665,4.35864,1.10529,0.0163608,-0.00274869,0.152747,0.277647
0.0872665,5.0292,1.1036,0.0162367,-0.00218573,0.15082,0.318764
0.0872665,5.69976,1.11568,0.0161609,-0.00076158,0.149333,0.359883
0.0872665,6.37032,1.12902,0.0161629,0.000741699,0.148151,0.401001
0.10472,0.33528,1.51686,0.0445103,0.00766664,0.260302,0.0331767
0.10472,1.00584,1.31205,0.0202922,0.0018588,0.190457,0.0741483
0.10472,1.6764,1.20503,0.0179498,-0.00080225,0.170362,0.115224
0.10472,2.34696,1.15166,0.0170444,-0.00190701,0.16083,0.156322
0.10472,3.01752,1.12005,0.0165512,-0.00251194,0.155268,0.197428
0.10472,3.68808,1.0987,0.0162758,-0.00285436,0.151622,0.238538
0.10472,4.35864,1.08364,0.0160813,-0.00309609,0.149049,0.27965
0.10472,5.0292,1.08285,0.0159514,-0.00250975,0.147135,0.320764
0.10472,5.69976,1.0946,0.0158579,-0.00120004,0.145656,0.361879
0.10472,6.37032,1.10739,0.0159301,0.000396107,0.144478,0.402994
0.122173,0.33528,1.51994,0.0376394,0.00860696,0.25028,0.0351875
0.122173,1.00584,1.28704,0.0197104,0.00120788,0.185697,0.0761661
0.122173,1.6764,1.18243,0.0175664,-0.00127,0.166326,0.11724
0.122173,2.34696,1.13024,0.0166828,-0.00234844,0.157008,0.158335
0.122173,3.01752,1.09817,0.0162689,-0.00286293,0.151531,0.199438
0.122173,3.68808,1.07706,0.0159965,-0.00320158,0.147925,0.240546
0.122173,4.35864,1.06212,0.0158036,-0.00344138,0.145372,0.281655
0.122173,5.0292,1.06219,0.015666,-0.00284244,0.14347,0.322766
0.122173,5.69976,1.0736,0.0155547,-0.00164669,0.141997,0.363878
0.122173,6.37032,1.08635,0.0156409,4.22045e-06,0.140823,0.40499
0.139626,0.33528,1.51282,0.032398,0.00881898,0.241073,0.0371958
0.139626,1.00584,1.26265,0.0191432,0.000573179,0.181056,0.0781809
0.139626,1.6764,1.16015,0.0171884,-0.00173128,0.162346,0.119254
0.139626,2.34696,1.10809,0.0163969,-0.00270383,0.153225,0.160347
0.139626,3.01752,1.07647,0.0159889,-0.00321103,0.147825,0.201448
0.139626,3.68808,1.05557,0.0157191,-0.00354633,0.144255,0.242553
0.139626,4.35864,1.04073,0.0155276,-0.00378446,0.14172,0.283661
0.139626,5.0292,1.04163,0.0153805,-0.0031836,0.139827,0.324769
0.139626,5.69976,1.05242,0.015274,-0.00206425,0.138359,0.365879
0.139626,6.37032,1.06491,0.0153898,-0.00033901,0.137187,0.406989
0.15708,0.33528,1.48956,0.0293464,0.0079221,0.232556,0.039201
0.15708,1.00584,1.23886,0.0185896,-4.62165e-05,0.176526,0.0801922
0.15708,1.6764,1.13817,0.0168157,-0.00218615,0.158422,0.121265
0.15708,2.34696,1.08617,0.0161139,-0.00305554,0.14948,0.162357
0.15708,3.01752,1.05496,0.0157112,-0.00355613,0.144151,0.203457
0.15708,3.68808,1.03425,0.0154439,-0.00388845,0.140613,0.244561
0.15708,4.35864,1.01921,0.0152762,-0.00409732,0.138093,0.285666
0.15708,5.0292,1.0205,0.0151499,-0.0034555,0.136207,0.326774
0.15708,5.69976,1.03084,0.0150357,-0.00241911,0.134743,0.367882
0.15708,6.37032,1.04328,0.015162,-0.000675364,0.133572,0.408991
0.174533,0.33528,1.46494,0.0267985,0.00698691,0.224632,0.0412022
0.174533,1.00584,1.21478,0.0181151,-0.00060044,0.172103,0.0821992
0.174533,1.6764,1.11586,0.0164972,-0.00257908,0.154553,0.123272
0.174533,2.34696,1.06448,0.0158341,-0.00340346,0.145776,0.164364
0.174533,3.01752,1.03365,0.0154362,-0.00389805,0.14051,0.205463
0.174533,3.68808,1.01261,0.0152097,-0.00418011,0.137,0.246566
0.174533,4.35864,0.997465,0.0150573,-0.00437011,0.134493,0.287672
0.174533,5.0292,0.999444,0.014923,-0.00372893,0.132613,0.328778
0.174533,5.69976,1.00937,0.014798,-0.00277947,0.131151,0.369886
0.174533,6.37032,1.0219,0.0149182,-0.00104933,0.129981,0.410994
0.191986,0.33528,1.43494,0.0250985,0.00587612,0.217221,0.0431987
0.191986,1.00584,1.19057,0.0177046,-0.00110144,0.167781,0.0842015
0.191986,1.6764,1.09353,0.016209,-0.00293738,0.150738,0.125275
0.191986,2.34696,1.04303,0.0155573,-0.00374752,0.142113,0.166367
0.191986,3.01752,1.01204,0.0152039,-0.00418734,0.136905,0.207467
