Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0,0.33528,0,-1.36811,0.499926,1.45659
0,1.00584,0,-1.42373,0.3214,1.45956
0,1.6764,0,-3.18759,0.632252,3.24969
0,2.34696,0,-5.79765,1.08219,5.89779
0,3.01752,0,-9.21207,1.65983,9.36041
0,3.68808,0,-13.4128,2.36147,13.6191
0,4.35864,0,-18.4685,3.19898,18.7435
0,5.0292,0,-24.3872,4.17327,24.7417
0,5.69976,0,-31.3846,5.32061,31.8324
0,6.37032,0,-39.2957,6.61228,39.8482
0.0174533,0.33528,0,-1.4217,0.486882,1.50276
0.0174533,1.00584,0,-1.44455,0.317497,1.47903
0.0174533,1.6764,0,-3.20792,0.621652,3.2676
0.0174533,2.34696,0,-5.81443,1.06104,5.91044
0.0174533,3.01752,0,-9.18255,1.61761,9.32394
0.0174533,3.68808,0,-13.3885,2.30448,13.5854
0.0174533,4.35864,0,-18.3829,3.11259,18.6446
0.0174533,5.0292,0,-24.2242,4.05176,24.5607
0.0174533,5.69976,0,-31.0649,5.14694,31.4884
0.0174533,6.37032,0,-38.7711,6.37541,39.2918
0.0349066,0.33528,0,-1.44622,0.467073,1.51978
0.0349066,1.00584,0,-1.46127,0.31277,1.49437
0.0349066,1.6764,0,-3.24862,0.614957,3.30631
0.0349066,2.34696,0,-5.82646,1.03914,5.9184
0.0349066,3.01752,0,-9.19822,1.58368,9.33356
0.0349066,3.68808,0,-13.3582,2.24694,13.5459
0.0349066,4.35864,0,-18.2898,3.02595,18.5384
0.0349066,5.0292,0,-24.0473,3.9296,24.3662
0.0349066,5.69976,0,-30.727,4.9732,31.1269
0.0349066,6.37032,0,-38.2236,6.13934,38.7135
0.0523599,0.33528,0,-1.42317,0.435627,1.48835
0.0523599,1.00584,0,-1.49085,0.31081,1.5229
0.0523599,1.6764,0,-3.28636,0.607579,3.34205
0.0523599,2.34696,0,-5.85129,1.01962,5.93946
0.0523599,3.01752,0,-9.20919,1.5491,9.33857
0.0523599,3.68808,0,-13.3218,2.18895,13.5004
0.0523599,4.35864,0,-18.189,2.93916,18.4249
0.0523599,5.0292,0,-23.8562,3.80696,24.1581
0.0523599,5.69976,0,-30.387,4.80217,30.7641
0.0523599,6.37032,0,-37.7599,5.92111,38.2214
0.0698132,0.33528,0,-1.159,0.337614,1.20717
0.0698132,1.00584,0,-1.52389,0.309489,1.555
0.0698132,1.6764,0,-3.32102,0.59954,3.3747
0.0698132,2.34696,0,-5.88952,1.00242,5.97422
0.0698132,3.01752,0,-9.2154,1.51395,9.33893
0.0698132,3.68808,0,-13.2791,2.13058,13.449
0.0698132,4.35864,0,-18.0936,2.85437,18.3174
0.0698132,5.0292,0,-23.7295,3.69625,24.0157
0.0698132,5.69976,0,-30.1911,4.65649,30.5481
0.0698132,6.37032,0,-37.4304,5.72753,37.8661
0.0872665,0.33528,0,-0.909015,0.252844,0.943525
0.0872665,1.00584,0,-1.55437,0.30756,1.58451
0.0872665,1.6764,0,-3.35292,0.590938,3.40459
0.0872665,2.34696,0,-5.92438,0.984607,6.00564
0.0872665,3.01752,0,-9.21687,1.47828,9.33467
0.0872665,3.68808,0,-13.2574,2.07618,13.4189
0.0872665,4.35864,0,-18.0578,2.77992,18.2705
0.0872665,5.0292,0,-23.6287,3.59094,23.9
0.0872665,5.69976,0,-29.9838,4.51116,30.3213
0.0872665,6.37032,0,-37.2382,5.5576,37.6506
0.10472,0.33528,0,-0.685815,0.182663,0.709724
0.10472,1.00584,0,-1.58697,0.305958,1.61619
0.10472,1.6764,0,-3.4023,0.585295,3.45228
0.10472,2.34696,0,-5.95581,0.96622,6.03368
0.10472,3.01752,0,-9.2332,1.44525,9.34562
0.10472,3.68808,0,-13.2619,2.02635,13.4158
0.10472,4.35864,0,-18.0165,2.7054,18.2185
0.10472,5.0292,0,-23.5187,3.4856,23.7756
0.10472,5.69976,0,-29.7652,4.36639,30.0837
0.10472,6.37032,0,-37.0874,5.39593,37.4779
0.122173,0.33528,0,-0.654082,0.16721,0.675117
0.122173,1.00584,0,-1.62798,0.305835,1.65646
0.122173,1.6764,0,-3.44955,0.5791,3.49782
0.122173,2.34696,0,-5.98424,0.947373,6.05877
0.122173,3.01752,0,-9.26684,1.41506,9.37426
0.122173,3.68808,0,-13.2621,1.97623,13.4085
0.122173,4.35864,0,-17.9699,2.63089,18.1615
0.122173,5.0292,0,-23.3996,3.38036,23.6425
0.122173,5.69976,0,-29.5352,4.22233,29.8355
0.122173,6.37032,0,-36.7951,5.21614,37.163
0.139626,0.33528,0,-0.630557,0.155025,0.649334
0.139626,1.00584,0,-1.66732,0.30522,1.69503
0.139626,1.6764,0,-3.49457,0.572368,3.54113
0.139626,2.34696,0,-6.03568,0.932121,6.10723
0.139626,3.01752,0,-9.29701,1.38443,9.39952
0.139626,3.68808,0,-13.2577,1.92587,13.3969
0.139626,4.35864,0,-17.9179,2.55646,18.0993
0.139626,5.0292,0,-23.2714,3.27533,23.5008
