Azimuth Angle,Radius Location,Lift_X,Lift_Y,Lift_Z,Lift_Mag
0,0.33528,0,2.04292,5.59073,5.95229
0,1.00584,0,17.841,79.0318,81.0205
0,1.6764,0,40.1033,202.187,206.126
0,2.34696,0,70.839,379.509,386.064
0,3.01752,0,110.171,611.45,621.296
0,3.68808,0,158.141,898.217,912.032
0,4.35864,0,214.6,1238.94,1257.39
0,5.0292,0,280.773,1640.75,1664.6
0,5.69976,0,361.317,2131.3,2161.71
0,6.37032,0,453.614,2695.76,2733.66
0.0174533,0.33528,0,2.39666,6.99829,7.3973
0.0174533,1.00584,0,18.2528,83.0468,85.029
0.0174533,1.6764,0,40.1174,207.019,210.87
0.0174533,2.34696,0,70.0715,383.989,390.33
0.0174533,3.01752,0,108.321,614.894,624.362
0.0174533,3.68808,0,154.698,898.766,911.982
0.0174533,4.35864,0,209.319,1236.23,1253.83
0.0174533,5.0292,0,273.52,1635.3,1658.01
0.0174533,5.69976,0,351.438,2121.14,2150.06
0.0174533,6.37032,0,440.674,2679.9,2715.89
0.0349066,0.33528,0,2.80559,8.68712,9.12893
0.0349066,1.00584,0,18.645,87.1104,89.0834
0.0349066,1.6764,0,40.0381,211.508,215.264
0.0349066,2.34696,0,69.2564,388.32,394.448
0.0349066,3.01752,0,106.308,617.452,626.537
0.0349066,3.68808,0,151.214,898.975,911.604
0.0349066,4.35864,0,204.011,1233.1,1249.86
0.0349066,5.0292,0,266.254,1629.35,1650.96
0.0349066,5.69976,0,341.571,2110.4,2137.86
0.0349066,6.37032,0,427.778,2663.35,2697.49
0.0523599,0.33528,0,3.29846,10.7759,11.2694
0.0523599,1.00584,0,18.9778,91.03,92.9872
0.0523599,1.6764,0,39.92,215.924,219.584
0.0523599,2.34696,0,68.3561,392.275,398.187
0.0523599,3.01752,0,104.25,619.753,628.46
0.0523599,3.68808,0,147.692,898.842,910.895
0.0523599,4.35864,0,198.682,1229.54,1245.49
0.0523599,5.0292,0,258.982,1622.91,1643.44
0.0523599,5.69976,0,331.693,2098.87,2124.92
0.0523599,6.37032,0,414.734,2644.83,2677.15
0.0698132,0.33528,0,4.27207,14.6656,15.2752
0.0698132,1.00584,0,19.2736,94.9009,96.8382
0.0698132,1.6764,0,39.7637,220.262,223.822
0.0698132,2.34696,0,67.3735,395.84,401.533
0.0698132,3.01752,0,102.151,621.792,630.127
0.0698132,3.68808,0,144.139,898.364,909.854
0.0698132,4.35864,0,193.312,1225.39,1240.54
0.0698132,5.0292,0,251.556,1614.96,1634.44
0.0698132,5.69976,0,321.536,2084.73,2109.38
0.0698132,6.37032,0,401.477,2623.72,2654.26
0.0872665,0.33528,0,5.27127,18.951,19.6705
0.0872665,1.00584,0,19.5457,98.7815,100.697
0.0872665,1.6764,0,39.5692,224.511,227.971
0.0872665,2.34696,0,66.3493,399.224,404.7
0.0872665,3.01752,0,100.013,623.569,631.538
0.0872665,3.68808,0,140.506,897.191,908.127
0.0872665,4.35864,0,187.804,1219.93,1234.31
0.0872665,5.0292,0,244.074,1606.02,1624.46
0.0872665,5.69976,0,311.432,2069.96,2093.26
0.0872665,6.37032,0,388.215,2601.19,2630
0.10472,0.33528,0,6.22495,23.3717,24.1865
0.10472,1.00584,0,19.7825,102.61,104.499
0.10472,1.6764,0,39.2929,228.408,231.763
0.10472,2.34696,0,65.2856,402.423,407.684
0.10472,3.01752,0,97.8022,624.825,632.433
0.10472,3.68808,0,136.79,895.253,905.643
0.10472,4.35864,0,182.303,1214.04,1227.65
0.10472,5.0292,0,236.618,1596.55,1613.99
0.10472,5.69976,0,301.393,2054.56,2076.55
0.10472,6.37032,0,375.102,2578.16,2605.3
0.122173,0.33528,0,6.75221,26.4129,27.2623
0.122173,1.00584,0,19.9702,106.303,108.162
0.122173,1.6764,0,38.9804,232.196,235.445
0.122173,2.34696,0,64.1835,405.426,410.475
0.122173,3.01752,0,95.5183,625.524,632.774
0.122173,3.68808,0,133.062,892.952,902.812
0.122173,4.35864,0,176.815,1207.71,1220.59
0.122173,5.0292,0,229.198,1586.56,1603.03
0.122173,5.69976,0,291.429,2038.54,2059.27
0.122173,6.37032,0,362.289,2555.62,2581.17
0.139626,0.33528,0,7.23885,29.4437,30.3205
0.139626,1.00584,0,20.1319,109.974,111.801
0.139626,1.6764,0,38.6324,235.869,239.012
0.139626,2.34696,0,62.992,407.886,412.722
0.139626,3.01752,0,93.2086,625.935,632.837
0.139626,3.68808,0,129.327,890.287,899.632
0.139626,4.35864,0,171.346,1200.94,1213.11
0.139626,5.0292,0,221.819,1576.03,1591.57
0.139626,5.69976,0,281.477,2021.41,2040.91
0.139626,6.37032,0,349.454,2531.27,2555.28
0.15708,0.33528,0,7.64221,32.2672,33.1598
0.15708,1.00584,0,20.2674,113.617,115.411
0.15708,1.6764,0,38.2503,239.423,242.459
0.15708,2.34696,0,61.768,410.136,414.761
0.15708,3.01752,0,90.8772,626.059,632.62
0.15708,3.68808,0,125.589,887.262,896.106
0.15708,4.35864,0,165.857,1193.41,1204.88
0.15708,5.0292,0,214.35,1563.96,1578.58
0.15708,5.69976,0,271.493,2002.69,2021.01
0.15708,6.37032,0,336.677,2505.55,2528.07
0.174533,0.33528,0,8.02482,35.1213,36.0264
0.174533,1.00584,0,20.3627,117.147,118.903
0.174533,1.6764,0,37.8135,242.713,245.641
0.174533,2.34696,0,60.5143,412.173,416.592
0.174533,3.01752,0,88.5283,625.896,632.126
0.174533,3.68808,0,121.796,883.452,891.809
0.174533,4.35864,0,160.341,1184.99,1195.79
0.174533,5.0292,0,206.938,1551.3,1565.04
0.174533,5.69976,0,261.622,1983.37,2000.55
0.174533,6.37032,0,324.113,2479.48,2500.57
0.191986,0.33528,0,8.36019,37.8799,38.7915
0.191986,1.00584,0,20.4202,120.563,122.28
0.191986,1.6764,0,37.3336,245.793,248.612
0.191986,2.34696,0,59.2335,413.996,418.212
0.191986,3.01752,0,86.1225,625.133,631.037
0.191986,3.68808,0,117.992,879.117,887
0.191986,4.35864,0,154.868,1176.13,1186.29
0.191986,5.0292,0,199.598,1538.12,1551.01
0.191986,5.69976,0,251.875,1963.44,1979.53
0.191986,6.37032,0,311.77,2453.09,2472.82
0.20944,0.33528,0,8.68556,40.6992,41.6157
0.20944,1.00584,0,20.4512,123.926,125.602
0.20944,1.6764,0,36.8234,248.73,251.441
0.20944,2.34696,0,57.916,415.515,419.531
0.20944,3.01752,0,83.6939,623.971,629.559
0.20944,3.68808,0,114.204,874.417,881.843
0.20944,4.35864,0,149.446,1166.85,1176.38
0.20944,5.0292,0,192.34,1524.42,1536.5
0.20944,5.69976,0,242.26,1942.93,1957.97
0.20944,6.37032,0,299.656,2426.41,2444.84
0.226893,0.33528,0,8.97259,43.4415,44.3585
0.226893,1.00584,0,20.4561,127.228,128.862
0.226893,1.6764,0,36.2843,251.521,254.125
0.226893,2.34696,0,56.5505,416.62,420.44
0.226893,3.01752,0,81.2601,622.51,627.792
0.226893,3.68808,0,110.436,869.356,876.342
0.226893,4.35864,0,144.079,1157.16,1166.09
0.226893,5.0292,0,185.163,1510.17,1521.48
0.226893,5.69976,0,232.718,1921.29,1935.33
0.226893,6.37032,0,287.523,2397.33,2414.51
0.244346,0.33528,0,9.24263,46.1997,47.1152
0.244346,1.00584,0,20.4276,130.416,132.006
0.244346,1.6764,0,35.7181,254.163,256.661
0.244346,2.34696,0,55.1665,417.496,421.125
0.244346,3.01752,0,78.8257,620.756,625.741
0.244346,3.68808,0,106.695,863.942,870.505
0.244346,4.35864,0,138.733,1146.71,1155.07
0.244346,5.0292,0,177.979,1494.56,1505.12
0.244346,5.69976,0,223.255,1898.44,1911.53
0.244346,6.37032,0,275.557,2367.21,2383.2
0.261799,0.33528,0,9.49716,48.9776,49.8899
0.261799,1.00584,0,20.363,133.46,135.004
0.261799,1.6764,0,35.1032,256.483,258.874
0.261799,2.34696,0,53.7671,418.145,421.588
0.261799,3.01752,0,76.3947,618.712,623.41
0.261799,3.68808,0,102.937,857.779,863.933
0.261799,4.35864,0,133.419,1135.52,1143.33
0.261799,5.0292,0,170.905,1478.46,1488.31
0.261799,5.69976,0,213.96,1875.06,1887.22
0.261799,6.37032,0,263.829,2336.59,2351.44
0.279253,0.33528,0,9.71837,51.6774,52.5833
0.279253,1.00584,0,20.2738,136.423,137.922
0.279253,1.6764,0,34.465,258.642,260.928
0.279253,2.34696,0,52.355,418.566,421.827
0.279253,3.01752,0,73.9362,616.091,620.511
0.279253,3.68808,0,99.2054,851.165,856.927
0.279253,4.35864,0,128.182,1123.95,1131.23
0.279253,5.0292,0,163.946,1461.89,1471.06
0.279253,5.69976,0,204.839,1851.14,1862.44
0.279253,6.37032,0,252.348,2305.49,2319.26
0.296706,0.33528,0,9.92375,54.3832,55.2813
0.296706,1.00584,0,20.1607,139.302,140.753
0.296706,1.6764,0,33.8051,260.638,262.821
0.296706,2.34696,0,50.923,418.678,421.763
0.296706,3.01752,0,71.4811,613.107,617.26
0.296706,3.68808,0,95.5165,844.211,849.598
0.296706,4.35864,0,123.124,1112.85,1119.64
0.296706,5.0292,0,157.109,1444.86,1453.38
0.296706,5.69976,0,195.901,1826.72,1837.2
0.296706,6.37032,0,241.122,2273.94,2286.69
0.314159,0.33528,0,10.113,57.0899,57.9787
0.314159,1.00584,0,20.0245,142.091,143.495
0.314159,1.6764,0,33.1253,262.469,264.551
0.314159,2.34696,0,49.4645,418.399,421.313
0.314159,3.01752,0,69.0417,609.835,613.731
0.314159,3.68808,0,91.8748,836.923,841.951
0.314159,4.35864,0,118.164,1101.53,1107.85
0.314159,5.0292,0,150.399,1427.39,1435.29
0.314159,5.69976,0,187.117,1801.49,1811.18
0.314159,6.37032,0,230.002,2240.47,2252.24
0.331613,0.33528,0,10.2736,59.7208,60.5981
0.331613,1.00584,0,19.854,144.7,146.056
0.331613,1.6764,0,32.4275,264.133,266.116
0.331613,2.34696,0,48.0024,417.888,420.636
0.331613,3.01752,0,66.6216,606.282,609.931
0.331613,3.68808,0,88.2847,829.313,833.999
0.331613,4.35864,0,113.269,1089.65,1095.52
0.331613,5.0292,0,143.758,1408.84,1416.15
0.331613,5.69976,0,178.472,1775.21,1784.16
0.331613,6.37032,0,219.09,2205.9,2216.75
0.349066,0.33528,0,10.4149,62.3222,63.1864
0.349066,1.00584,0,19.6609,147.2,148.507
0.349066,1.6764,0,31.6957,265.48,267.366
0.349066,2.34696,0,46.5396,417.15,419.738
0.349066,3.01752,0,64.2247,602.455,605.868
0.349066,3.68808,0,84.7269,821.159,825.518
0.349066,4.35864,0,108.428,1077.05,1082.49
0.349066,5.0292,0,137.255,1389.82,1396.58
0.349066,5.69976,0,170.035,1748.49,1756.74
0.349066,6.37032,0,208.453,2170.82,2180.81
0.366519,0.33528,0,10.5393,64.9018,65.752
0.366519,1.00584,0,19.4476,149.595,150.854
0.366519,1.6764,0,30.9502,266.656,268.446
0.366519,2.34696,0,45.0787,416.188,418.622
0.366519,3.01752,0,61.8386,598.207,601.395
0.366519,3.68808,0,81.2138,812.537,816.585
0.366519,4.35864,0,103.684,1064.08,1069.12
0.366519,5.0292,0,130.901,1370.42,1376.65
0.366519,5.69976,0,161.812,1721.36,1728.95
0.366519,6.37032,0,198.097,2135.27,2144.44
0.383972,0.33528,0,10.6455,67.4472,68.2821
0.383972,1.00584,0,19.2151,151.885,153.096
0.383972,1.6764,0,30.1931,267.661,269.358
0.383972,2.34696,0,43.6223,415.004,417.291
0.383972,3.01752,0,59.4695,593.564,596.536
0.383972,3.68808,0,77.7663,803.621,807.375
0.383972,4.35864,0,99.0407,1050.78,1055.44
0.383972,5.0292,0,124.701,1350.64,1356.38
0.383972,5.69976,0,153.807,1693.85,1700.82
0.383972,6.37032,0,188.027,2099.27,2107.67
0.401426,0.33528,0,10.7256,69.9003,70.7184
0.401426,1.00584,0,18.9647,154.067,155.23
0.401426,1.6764,0,29.4261,268.495,270.103
0.401426,2.34696,0,42.1533,413.41,415.554
0.401426,3.01752,0,57.1344,588.663,591.429
0.401426,3.68808,0,74.3878,794.424,797.899
0.401426,4.35864,0,94.5014,1037.15,1041.44
0.401426,5.0292,0,118.658,1330.52,1335.8
0.401426,5.69976,0,146.024,1665.98,1672.37
0.401426,6.37032,0,178.223,2062.58,2070.27
0.418879,0.33528,0,10.7889,72.3134,73.1138
0.418879,1.00584,0,18.6878,156.059,157.174
0.418879,1.6764,0,28.6513,269.161,270.682
0.418879,2.34696,0,40.6945,411.598,413.605
0.418879,3.01752,0,54.8361,583.513,586.084
0.418879,3.68808,0,71.0813,784.958,788.17
0.418879,4.35864,0,90.0699,1023.2,1027.16
0.418879,5.0292,0,112.756,1309.82,1314.66
0.418879,5.69976,0,138.412,1637.13,1642.97
0.418879,6.37032,0,168.671,2024.98,2032
0.436332,0.33528,0,10.8359,74.6827,75.4647
0.436332,1.00584,0,18.3944,157.929,158.996
0.436332,1.6764,0,27.8634,269.59,271.026
0.436332,2.34696,0,39.2487,409.576,411.452
0.436332,3.01752,0,52.5776,578.126,580.512
0.436332,3.68808,0,67.8501,775.239,778.203
0.436332,4.35864,0,85.7206,1008.62,1012.26
0.436332,5.0292,0,106.996,1288.53,1292.96
0.436332,5.69976,0,131.031,1607.95,1613.28
0.436332,6.37032,0,159.423,1987.05,1993.44
0.453786,0.33528,0,10.8668,77.0046,77.7676
0.453786,1.00584,0,18.0868,159.683,160.704
0.453786,1.6764,0,27.0664,269.799,271.154
0.453786,2.34696,0,37.8181,407.349,409.101
0.453786,3.01752,0,50.3617,572.511,574.721
0.453786,3.68808,0,64.6704,764.969,767.698
0.453786,4.35864,0,81.4815,993.688,997.023
0.453786,5.0292,0,101.407,1266.96,1271.01
0.453786,5.69976,0,123.931,1579.07,1583.93
0.453786,6.37032,0,150.482,1948.83,1954.63
0.471239,0.33528,0,10.8758,79.229,79.972
0.471239,1.00584,0,17.7662,161.32,162.296
0.471239,1.6764,0,26.2675,269.843,271.118
0.471239,2.34696,0,36.4049,404.924,406.557
0.471239,3.01752,0,48.1742,566.485,568.53
0.471239,3.68808,0,61.5722,754.468,756.976
0.471239,4.35864,0,77.3616,978.5,981.553
0.471239,5.0292,0,95.9915,1245.14,1248.83
0.471239,5.69976,0,117.073,1550.07,1554.48
0.471239,6.37032,0,141.848,1910.36,1915.62
0.488692,0.33528,0,10.8686,81.3882,82.1107
0.488692,1.00584,0,17.4339,162.842,163.772
0.488692,1.6764,0,25.4686,269.724,270.924
0.488692,2.34696,0,35.0091,402.282,403.803
0.488692,3.01752,0,46.0314,560.213,562.101
0.488692,3.68808,0,58.5578,743.754,746.056
0.488692,4.35864,0,73.3629,963.074,965.864
0.488692,5.0292,0,90.7508,1223.09,1226.45
0.488692,5.69976,0,110.447,1520.82,1524.83
0.488692,6.37032,0,133.523,1871.67,1876.42
0.506145,0.33528,0,10.8469,83.4875,84.1892
0.506145,1.00584,0,17.0885,164.222,165.109
0.506145,1.6764,0,24.6715,269.447,270.574
0.506145,2.34696,0,33.6237,399.324,400.737
0.506145,3.01752,0,43.9386,553.742,555.483
0.506145,3.68808,0,55.6291,732.845,734.954
0.506145,4.35864,0,69.4873,947.432,949.977
0.506145,5.0292,0,85.6864,1200.84,1203.89
0.506145,5.69976,0,104.053,1491.34,1494.97
0.506145,6.37032,0,125.489,1832.53,1836.83
0.523599,0.33528,0,10.8113,85.5248,86.2054
0.523599,1.00584,0,16.7292,165.438,166.282
0.523599,1.6764,0,23.8778,269.015,270.072
0.523599,2.34696,0,32.2623,396.186,397.497
0.523599,3.01752,0,41.8977,547.085,548.687
0.523599,3.68808,0,52.7877,721.757,723.685
0.523599,4.35864,0,65.7362,931.596,933.912
0.523599,5.0292,0,80.7864,1178.23,1180.99
0.523599,5.69976,0,97.8627,1461.25,1464.52
0.523599,6.37032,0,117.747,1793.01,1796.87
0.541052,0.33528,0,10.7626,87.498,88.1574
0.541052,1.00584,0,16.3623,166.538,167.34
0.541052,1.6764,0,23.0845,268.379,269.37
0.541052,2.34696,0,30.9268,392.878,394.093
0.541052,3.01752,0,39.9104,540.255,541.727
0.541052,3.68808,0,50.035,710.508,712.268
0.541052,4.35864,0,62.0955,915.358,917.461
0.541052,5.0292,0,76.0528,1155.28,1157.78
0.541052,5.69976,0,91.9098,1431.02,1433.96
0.541052,6.37032,0,110.317,1753.4,1756.87
0.558505,0.33528,0,10.6958,89.3586,89.9965
0.558505,1.00584,0,15.9889,167.522,168.284
0.558505,1.6764,0,22.2943,267.551,268.478
0.558505,2.34696,0,29.6189,389.409,390.534
0.558505,3.01752,0,37.9783,533.264,534.615
0.558505,3.68808,0,47.3595,698.93,700.533
0.558505,4.35864,0,58.5783,898.901,900.808
0.558505,5.0292,0,71.4994,1132.22,1134.48
0.558505,5.69976,0,86.1933,1400.69,1403.34
0.558505,6.37032,0,103.196,1713.76,1716.87
0.575959,0.33528,0,10.6169,91.1463,91.7626
