Azimuth Angle,Radius Location,Pitch_X,Pitch_Y,Pitch_Z,Pitch_Mag
0,0.33528,0.143561,0,0,0.143561
0,1.00584,-0.111997,0,0,0.111997
0,1.6764,-0.124222,0,0,0.124222
0,2.34696,-0.0963709,0,0,0.0963709
0,3.01752,-0.0291108,0,0,0.0291108
0,3.68808,0.0789865,0,0,0.0789865
0,4.35864,0.211653,0,0,0.211653
0,5.0292,0.170672,0,0,0.170672
0,5.69976,-0.90102,0,0,0.90102
0,6.37032,-2.48479,0,0,2.48479
0.0174533,0.33528,0.14812,0,0,0.14812
0.0174533,1.00584,-0.104027,0,0,0.104027
0.0174533,1.6764,-0.0970934,0,0,0.0970934
0.0174533,2.34696,-0.0469196,0,0,0.0469196
0.0174533,3.01752,0.0523057,0,0,0.0523057
0.0174533,3.68808,0.18255,0,0,0.18255
0.0174533,4.35864,0.355556,0,0,0.355556
0.0174533,5.0292,0.327889,0,0,0.327889
0.0174533,5.69976,-0.628606,0,0,0.628606
0.0174533,6.37032,-2.05335,0,0,2.05335
0.0349066,0.33528,0.146818,0,0,0.146818
0.0349066,1.00584,-0.0948486,0,0,0.0948486
0.0349066,1.6764,-0.0708452,0,0,0.0708452
0.0349066,2.34696,0.00492907,0,0,0.00492907
0.0349066,3.01752,0.124506,0,0,0.124506
0.0349066,3.68808,0.289266,0,0,0.289266
0.0349066,4.35864,0.503178,0,0,0.503178
0.0349066,5.0292,0.49477,0,0,0.49477
0.0349066,5.69976,-0.342783,0,0,0.342783
0.0349066,6.37032,-1.60418,0,0,1.60418
0.0523599,0.33528,0.136047,0,0,0.136047
0.0523599,1.00584,-0.0842997,0,0,0.0842997
0.0523599,1.6764,-0.0428213,0,0,0.0428213
0.0523599,2.34696,0.0550193,0,0,0.0550193
0.0523599,3.01752,0.199304,0,0,0.199304
0.0523599,3.68808,0.399128,0,0,0.399128
0.0523599,4.35864,0.654496,0,0,0.654496
0.0523599,5.0292,0.671498,0,0,0.671498
0.0523599,5.69976,-0.0501457,0,0,0.0501457
0.0523599,6.37032,-1.18555,0,0,1.18555
0.0698132,0.33528,0.075805,0,0,0.075805
0.0698132,1.00584,-0.0724071,0,0,0.0724071
0.0698132,1.6764,-0.0129962,0,0,0.0129962
0.0698132,2.34696,0.103208,0,0,0.103208
0.0698132,3.01752,0.276696,0,0,0.276696
0.0698132,3.68808,0.512113,0,0,0.512113
0.0698132,4.35864,0.804945,0,0,0.804945
0.0698132,5.0292,0.828776,0,0,0.828776
0.0698132,5.69976,0.187524,0,0,0.187524
0.0698132,6.37032,-0.820633,0,0,0.820633
0.0872665,0.33528,0.0165863,0,0,0.0165863
0.0872665,1.00584,-0.0591787,0,0,0.0591787
0.0872665,1.6764,0.018554,0,0,0.018554
0.0872665,2.34696,0.153455,0,0,0.153455
0.0872665,3.01752,0.356657,0,0,0.356657
0.0872665,3.68808,0.61875,0,0,0.61875
0.0872665,4.35864,0.935594,0,0,0.935594
0.0872665,5.0292,0.980643,0,0,0.980643
0.0872665,5.69976,0.435525,0,0,0.435525
0.0872665,6.37032,-0.526618,0,0,0.526618
0.10472,0.33528,-0.0372605,0,0,0.0372605
0.10472,1.00584,-0.0451244,0,0,0.0451244
0.10472,1.6764,0.0470296,0,0,0.0470296
0.10472,2.34696,0.205763,0,0,0.205763
0.10472,3.01752,0.432318,0,0,0.432318
0.10472,3.68808,0.717132,0,0,0.717132
0.10472,4.35864,1.0691,0,0,1.0691
0.10472,5.0292,1.14019,0,0,1.14019
0.10472,5.69976,0.693902,0,0,0.693902
0.10472,6.37032,-0.284043,0,0,0.284043
0.122173,0.33528,-0.0470546,0,0,0.0470546
0.122173,1.00584,-0.0309403,0,0,0.0309403
0.122173,1.6764,0.0770784,0,0,0.0770784
0.122173,2.34696,0.259962,0,0,0.259962
0.122173,3.01752,0.502811,0,0,0.502811
0.122173,3.68808,0.817967,0,0,0.817967
0.122173,4.35864,1.20544,0,0,1.20544
0.122173,5.0292,1.3075,0,0,1.3075
0.122173,5.69976,0.962719,0,0,0.962719
0.122173,6.37032,-0.00305649,0,0,0.00305649
0.139626,0.33528,-0.0538745,0,0,0.0538745
0.139626,1.00584,-0.0154692,0,0,0.0154692
0.139626,1.6764,0.108715,0,0,0.108715
0.139626,2.34696,0.306958,0,0,0.306958
0.139626,3.01752,0.575372,0,0,0.575372
0.139626,3.68808,0.921235,0,0,0.921235
0.139626,4.35864,1.34455,0,0,1.34455
