Azimuth Angle,Radius Location,Lift_X,Lift_Y,Lift_Z,Lift_Mag
0,0.33528,0.511759,1.36262,5.77158,5.95229
0,1.00584,7.11824,8.30272,80.279,81.0205
0,1.6764,18.1523,15.7409,204.721,206.126
0,2.34696,34.0257,25.1418,383.739,386.064
0,3.01752,54.7791,36.5736,617.794,621.296
0,3.68808,80.4313,50.0537,907.098,912.032
0,4.35864,110.904,65.5363,1250.77,1257.39
0,5.0292,146.836,83.3896,1656.01,1664.6
0,5.69976,190.702,104.944,2150.72,2161.71
0,6.37032,241.172,129.367,2719.92,2733.66
0.0174533,0.33528,0.616458,1.55722,7.20521,7.3973
0.0174533,1.00584,7.38397,8.36357,84.2939,85.029
0.0174533,1.6764,18.443,15.5038,209.489,210.87
0.0174533,2.34696,34.2382,24.4476,388.056,390.33
0.0174533,3.01752,54.853,35.2891,620.946,624.362
0.0174533,3.68808,80.2008,47.9767,907.181,911.982
0.0174533,4.35864,110.338,62.55,1247.4,1253.83
0.0174533,5.0292,145.978,79.3976,1649.66,1658.01
0.0174533,5.69976,189.371,99.6653,2139.38,2150.06
0.0174533,6.37032,239.278,122.603,2702.54,2715.89
0.0349066,0.33528,0.740602,1.77807,8.92342,9.12893
0.0349066,1.00584,7.65407,8.41123,88.3545,89.0834
0.0349066,1.6764,18.71,15.2284,213.908,215.264
0.0349066,2.34696,34.4529,23.738,392.223,394.448
0.0349066,3.01752,54.8736,33.9593,623.205,626.537
0.0349066,3.68808,79.9784,45.9041,906.928,911.604
0.0349066,4.35864,109.786,59.585,1243.61,1249.86
0.0349066,5.0292,145.144,75.4429,1642.84,1650.96
0.0349066,5.69976,188.076,94.4484,2127.48,2137.86
0.0349066,6.37032,237.433,115.931,2684.52,2697.49
0.0523599,0.33528,0.893219,2.04131,11.047,11.2694
0.0523599,1.00584,7.9121,8.42825,92.2659,92.9872
0.0523599,1.6764,18.9778,14.9366,218.251,219.584
0.0523599,2.34696,34.6494,23.0012,396.009,398.187
0.0523599,3.01752,54.8968,32.6242,625.207,628.46
0.0523599,3.68808,79.7627,43.8389,906.336,910.895
0.0523599,4.35864,109.247,56.6452,1239.4,1245.49
0.0523599,5.0292,144.333,71.5302,1635.53,1643.44
0.0523599,5.69976,186.796,89.291,2114.81,2124.92
0.0523599,6.37032,235.52,109.304,2664.53,2677.15
0.0698132,0.33528,1.1864,2.5843,15.0081,15.2752
0.0698132,1.00584,8.16695,8.42557,96.1247,96.8382
0.0698132,1.6764,19.246,14.6294,222.513,223.822
