Azimuth Angle,Radius Location,Moment_X,Moment_Y,Moment_Z,Moment_Mag
0,0.33528,-0.00163717,17.5578,-0.0184638,17.5578
0,1.00584,0.608616,-22.3783,6.86392,23.4153
0,1.6764,1.85089,-246.895,20.8742,247.783
0,2.34696,3.99166,-767.77,45.0176,769.099
0,3.01752,7.25703,-1696.67,81.8443,1698.66
0,3.68808,11.8749,-3145.6,133.924,3148.47
0,4.35864,18.0234,-5222.34,203.267,5226.33
0,5.0292,26.0646,-8073.13,293.955,8078.52
0,5.69976,36.8246,-11982.1,415.305,11989.3
0,6.37032,50.392,-17034.1,568.318,17043.7
0.0174533,0.33528,-0.295808,17.0779,0.025601,17.0804
0.0174533,1.00584,1.06627,-26.4198,6.77386,27.2952
0.0174533,1.6764,6.22653,-254.854,19.9042,255.706
0.0174533,2.34696,17.3236,-777.763,41.9537,779.086
0.0174533,3.01752,36.4922,-1705.84,75.1888,1707.89
0.0174533,3.68808,65.73,-3145.24,121.231,3148.27
0.0174533,4.35864,107.165,-5206.5,182.303,5210.8
0.0174533,5.0292,163.733,-8039.44,262.002,8045.38
0.0174533,5.69976,240.881,-11914.8,368.382,11922.9
0.0174533,6.37032,340.196,-16919.6,502.235,16930.4
0.0349066,0.33528,-0.568349,16.4987,0.0866838,16.5087
0.0349066,1.00584,1.6643,-30.4964,6.66284,31.2601
0.0349066,1.6764,10.8467,-262.148,18.8128,263.045
0.0349066,2.34696,30.9815,-787.164,38.832,788.73
0.0349066,3.01752,65.9151,-1711.81,68.2293,1714.44
0.0349066,3.68808,119.511,-3142.71,108.56,3146.85
0.0349066,4.35864,195.67,-5187.29,161.478,5193.49
0.0349066,5.0292,300.12,-8000.94,230.35,8009.88
0.0349066,5.69976,442.454,-11840.7,322.029,11853.3
0.0349066,6.37032,625.842,-16795.8,437.097,16813.2
0.0523599,0.33528,-0.811132,15.7812,0.175921,15.8031
0.0523599,1.00584,2.39154,-34.4095,6.49673,35.099
0.0523599,1.6764,15.71,-269.225,17.677,270.262
0.0523599,2.34696,44.9085,-795.424,35.5877,797.485
0.0523599,3.01752,95.5015,-1716.47,61.2421,1720.22
0.0523599,3.68808,173.14,-3137.98,95.9294,3144.22
0.0523599,4.35864,283.422,-5164.73,140.822,5174.41
0.0523599,5.0292,435.065,-7957.67,199.041,7972.04
0.0523599,5.69976,641.258,-11758.8,276.166,11779.5
0.0523599,6.37032,906.518,-16654.8,371.987,16683.6
0.0698132,0.33528,-0.971267,14.4571,0.435508,14.4962
0.0698132,1.00584,3.2484,-38.2524,6.29622,38.9029
0.0698132,1.6764,20.8077,-276.072,16.499,277.346
0.0698132,2.34696,59.0526,-802.507,32.23,805.322
0.0698132,3.01752,125.203,-1719.83,54.2387,1725.23
0.0698132,3.68808,226.539,-3131.07,83.3579,3140.36
0.0698132,4.35864,370.247,-5138.1,120.278,5152.82
0.0698132,5.0292,568.003,-7904.58,167.537,7926.73
0.0698132,5.69976,836.18,-11658.8,229.67,11691
0.0698132,6.37032,1181.21,-16492.6,306.63,16537.7
0.0872665,0.33528,-1.07452,12.9965,0.682595,13.0587
0.0872665,1.00584,4.238,-42.0812,6.07359,42.7279
0.0872665,1.6764,26.1297,-282.665,15.2801,284.281
0.0872665,2.34696,73.4112,-808.903,28.8344,812.739
0.0872665,3.01752,154.971,-1721.87,47.2327,1729.48
0.0872665,3.68808,279.503,-3120.69,70.7204,3133.98
0.0872665,4.35864,455.693,-5104.36,99.5472,5125.63
0.0872665,5.0292,698.768,-7844.33,136.221,7876.57
0.0872665,5.69976,1027.52,-11551.9,183.97,11599
0.0872665,6.37032,1449.68,-16317.1,241.444,16383.2
0.10472,0.33528,-1.12482,11.4902,0.899743,11.5802
0.10472,1.00584,5.35283,-45.8295,5.82016,46.5067
0.10472,1.6764,31.6147,-288.558,13.9662,290.62
0.10472,2.34696,87.9576,-814.601,25.4071,819.729
0.10472,3.01752,184.668,-1721.83,40.1478,1732.17
0.10472,3.68808,331.859,-3106.59,58.0224,3124.81
0.10472,4.35864,539.882,-5067.33,79.0985,5096.62
0.10472,5.0292,827.344,-7779.31,105.401,7823.89
0.10472,5.69976,1215.05,-11438.6,139.126,11503.8
0.10472,6.37032,1712.11,-16134.3,177.317,16225.8
0.122173,0.33528,-1.1935,10.4473,0.964727,10.5594
0.122173,1.00584,6.57827,-49.4118,5.52539,50.1531
0.122173,1.6764,37.2852,-294.155,12.6178,296.777
0.122173,2.34696,102.662,-819.571,21.9525,826.268
0.122173,3.01752,214.191,-1719.59,32.9933,1733.19
0.122173,3.68808,383.647,-3090.3,45.4556,3114.36
0.122173,4.35864,622.699,-5027.05,58.9581,5065.81
0.122173,5.0292,953.572,-7709.62,75.1162,7768.73
0.122173,5.69976,1398.58,-11318.8,95.1885,11405.3
0.122173,6.37032,1969.18,-15950.6,115.614,16072.1
0.139626,0.33528,-1.22825,9.40987,1.01381,9.54369
0.139626,1.00584,7.92419,-52.9388,5.20914,53.7814
0.139626,1.6764,43.1285,-299.444,11.2375,302.743
0.139626,2.34696,117.374,-823.001,18.3873,831.532
0.139626,3.01752,243.57,-1715.98,25.8756,1733.37
0.139626,3.68808,434.788,-3071.83,33.0366,3102.62
0.139626,4.35864,704.033,-4983.57,39.1497,5033.2
0.139626,5.0292,1077.29,-7635.32,45.4004,7711.08
0.139626,5.69976,1577.45,-11189.9,51.9001,11300.6
0.139626,6.37032,2218.81,-15751.5,54.633,15907.1
0.15708,0.33528,-1.24102,8.4445,1.03372,8.59757
0.15708,1.00584,9.38783,-56.4021,4.87206,57.3852
0.15708,1.6764,49.1315,-304.414,9.82822,308.51
0.15708,2.34696,132.155,-825.671,14.8116,836.311
0.15708,3.01752,272.751,-1711,18.8068,1732.71
0.15708,3.68808,485.204,-3051.21,20.7844,3089.62
0.15708,4.35864,783.532,-4935.5,19.557,4997.35
0.15708,5.0292,1197.5,-7551.42,15.7817,7645.79
0.15708,5.69976,1750.89,-11049.3,9.07703,11187.2
0.15708,6.37032,2460.83,-15540.2,-5.22764,15733.8
0.174533,0.33528,-1.21972,7.4724,1.04498,7.64307
0.174533,1.00584,10.9508,-59.7129,4.50412,60.8756
0.174533,1.6764,55.2371,-308.822,8.36669,313.834
0.174533,2.34696,146.976,-827.577,11.2323,840.602
0.174533,3.01752,301.687,-1704.69,11.7994,1731.22
0.174533,3.68808,534.53,-3026.92,8.56477,3073.77
0.174533,4.35864,860.914,-4882.39,0.16861,4957.72
0.174533,5.0292,1314.65,-7462.78,-13.1952,7577.7
0.174533,5.69976,1919.41,-10902.9,-32.6473,11070.6
0.174533,6.37032,2695.97,-15323.2,-63.1809,15558.6
0.191986,0.33528,-1.17282,6.53628,1.03985,6.72159
0.191986,1.00584,12.6068,-62.8706,4.10805,64.2536
0.191986,1.6764,61.4388,-312.755,6.86899,318.807
0.191986,2.34696,161.805,-828.715,7.65598,844.398
0.191986,3.01752,330.135,-1696.09,4.77235,1727.93
0.191986,3.68808,582.802,-2999.95,-3.50055,3056.04
0.191986,4.35864,936.368,-4826.28,-18.7912,4916.31
0.191986,5.0292,1428.66,-7369.84,-41.466,7507.16
0.191986,5.69976,2082.83,-10750.6,-73.2286,10950.8
0.191986,6.37032,2924.12,-15100.9,-119.188,15381.9
0.20944,0.33528,-1.09009,5.58503,1.02991,5.78287
0.20944,1.00584,14.3621,-65.9311,3.69348,67.5783
