Azimuth Angle,Radius Location,Pitch_X,Pitch_Y,Pitch_Z,Pitch_Mag
0,0.33528,0.143,0,-0.0126797,0.143561
0,1.00584,-0.111559,0,0.00989182,0.111997
0,1.6764,-0.123736,0,0.0109716,0.124222
0,2.34696,-0.0959943,0,0.00851169,0.0963709
0,3.01752,-0.0289971,0,0.00257114,0.0291108
0,3.68808,0.0786778,0,-0.00697626,0.0789865
0,4.35864,0.210825,0,-0.0186936,0.211653
0,5.0292,0.170005,0,-0.0150742,0.170672
0,5.69976,-0.897499,0,0.0795801,0.90102
0,6.37032,-2.47508,0,0.219462,2.48479
0.0174533,0.33528,0.147511,0.00257481,-0.0131771,0.14812
0.0174533,1.00584,-0.103599,-0.00180832,0.00925445,0.104027
0.0174533,1.6764,-0.0966937,-0.0016878,0.00863763,0.0970934
0.0174533,2.34696,-0.0467265,-0.000815613,0.00417406,0.0469196
0.0174533,3.01752,0.0520904,0.000909241,-0.00465322,0.0523057
0.0174533,3.68808,0.181798,0.0031733,-0.01624,0.18255
0.0174533,4.35864,0.354092,0.0061807,-0.031631,0.355556
0.0174533,5.0292,0.326539,0.00569976,-0.0291696,0.327889
0.0174533,5.69976,-0.626019,-0.0109272,0.0559221,0.628606
0.0174533,6.37032,-2.0449,-0.0356938,0.18267,2.05335
0.0349066,0.33528,0.14614,0.00510331,-0.0131458,0.146818
0.0349066,1.00584,-0.0944101,-0.00329687,0.00849253,0.0948486
0.0349066,1.6764,-0.0705176,-0.00246253,0.00634331,0.0708452
0.0349066,2.34696,0.00490628,0.000171331,-0.000441338,0.00492907
0.0349066,3.01752,0.12393,0.00432774,-0.011148,0.124506
0.0349066,3.68808,0.287928,0.0100547,-0.0259002,0.289266
0.0349066,4.35864,0.500852,0.0174901,-0.0450534,0.503178
0.0349066,5.0292,0.492483,0.0171979,-0.0443006,0.49477
0.0349066,5.69976,-0.341198,-0.0119149,0.030692,0.342783
0.0349066,6.37032,-1.59676,-0.0557601,0.143634,1.60418
0.0523599,0.33528,0.135309,0.00709125,-0.012251,0.136047
0.0523599,1.00584,-0.0838422,-0.00439398,0.00759112,0.0842997
0.0523599,1.6764,-0.0425889,-0.00223199,0.00385602,0.0428213
0.0523599,2.34696,0.0547207,0.00286779,-0.00495444,0.0550193
0.0523599,3.01752,0.198222,0.0103884,-0.0179471,0.199304
0.0523599,3.68808,0.396961,0.0208039,-0.0359411,0.399128
0.0523599,4.35864,0.650944,0.0341145,-0.0589368,0.654496
0.0523599,5.0292,0.667854,0.0350007,-0.0604679,0.671498
0.0523599,5.69976,-0.0498735,-0.00261376,0.00451558,0.0501457
0.0523599,6.37032,-1.17912,-0.0617951,0.106758,1.18555
0.0698132,0.33528,0.07531,0.00526619,-0.00686009,0.075805
0.0698132,1.00584,-0.0719344,-0.00503014,0.0065526,0.0724071
0.0698132,1.6764,-0.0129113,-0.000902849,0.00117611,0.0129962
0.0698132,2.34696,0.102534,0.00716985,-0.00933993,0.103208
0.0698132,3.01752,0.274889,0.0192221,-0.02504,0.276696
0.0698132,3.68808,0.50877,0.0355766,-0.0463445,0.512113
0.0698132,4.35864,0.79969,0.0559197,-0.0728448,0.804945
0.0698132,5.0292,0.823365,0.0575753,-0.0750014,0.828776
0.0698132,5.69976,0.1863,0.0130274,-0.0169703,0.187524
