Azimuth Angle,Flap,FlapRate,FlapAcceleration,PitchLinkMoment
0,-0.00153829,-0.0123563,-22.0283,17.9582
0.0174533,-0.00154859,-0.0307132,-22.0183,17.962
0.0349066,-0.00157418,-0.0490618,-22.0017,17.9658
0.0523599,-0.00161507,-0.0673966,-21.9785,17.9697
0.0698132,-0.00167123,-0.085712,-21.9487,17.9736
0.0872665,-0.00174266,-0.104003,-21.9122,17.9774
0.10472,-0.00182933,-0.122263,-21.8691,17.9813
0.122173,-0.00193121,-0.140487,-21.8194,17.9852
0.139626,-0.00204829,-0.15867,-21.7632,17.9891
0.15708,-0.00218051,-0.176806,-21.7004,17.993
0.174533,-0.00232785,-0.19489,-21.631,17.9969
0.191986,-0.00249026,-0.212915,-21.5551,18.0008
0.20944,-0.00266769,-0.230878,-21.4727,18.0047
0.226893,-0.00286009,-0.248772,-21.3838,18.0086
0.244346,-0.0030674,-0.266592,-21.2885,18.0125
0.261799,-0.00328956,-0.284332,-21.1867,18.0164
0.279253,-0.0035265,-0.301988,-21.0785,18.0203
0.296706,-0.00377816,-0.319553,-20.964,18.0242
0.314159,-0.00404445,-0.337023,-20.8431,18.028
0.331613,-0.0043253,-0.354392,-20.7159,18.0319
0.349066,-0.00462063,-0.371656,-20.5824,18.0357
0.366519,-0.00493034,-0.388808,-20.4427,18.0396
0.383972,-0.00525435,-0.405843,-20.2968,18.0434
0.401426,-0.00559255,-0.422757,-20.1447,18.0472
0.418879,-0.00594485,-0.439544,-19.9866,18.0509
0.436332,-0.00631114,-0.4562,-19.8224,18.0547
0.453786,-0.0066913,-0.472718,-19.6521,18.0584
0.471239,-0.00708523,-0.489095,-19.4759,18.0621
0.488692,-0.00749281,-0.505325,-19.2938,18.0657
0.506145,-0.00791392,-0.521403,-19.1058,18.0694
0.523599,-0.00834842,-0.537325,-18.912,18.073
0.541052,-0.00879619,-0.553085,-18.7125,18.0765
0.558505,-0.0092571,-0.568679,-18.5072,18.08
0.575959,-0.00973099,-0.584101,-18.2963,18.0835
0.593412,-0.0102177,-0.599348,-18.0799,18.087
0.610865,-0.0107172,-0.614415,-17.8579,18.0904
0.628319,-0.0112292,-0.629296,-17.6305,18.0937
0.645772,-0.0117536,-0.643988,-17.3976,18.097
0.663225,-0.0122903,-0.658486,-17.1595,18.1003
0.680678,-0.012839,-0.672786,-16.9161,18.1035
0.698132,-0.0133997,-0.686883,-16.6676,18.1066
0.715585,-0.0139721,-0.700772,-16.4139,18.1097
0.733038,-0.0145561,-0.714451,-16.1552,18.1128
0.750492,-0.0151514,-0.727913,-15.8916,18.1158
0.767945,-0.015758,-0.741156,-15.623,18.1187
0.785398,-0.0163757,-0.754175,-15.3497,18.1215
0.802851,-0.0170041,-0.766967,-15.0717,18.1243
0.820305,-0.0176433,-0.779527,-14.789,18.127
0.837758,-0.0182929,-0.791851,-14.5017,18.1297
0.855211,-0.0189528,-0.803936,-14.21,18.1322
0.872665,-0.0196227,-0.815777,-13.9139,18.1347
0.890118,-0.0203025,-0.827372,-13.6135,18.1371
0.907571,-0.020992,-0.838717,-13.3089,18.1395
0.925025,-0.0216909,-0.849807,-13.0001,18.1417
0.942478,-0.0223991,-0.860641,-12.6874,18.1439
0.959931,-0.0231163,-0.871214,-12.3707,18.146
0.977384,-0.0238423,-0.881523,-12.0501,18.148
0.994838,-0.0245769,-0.891564,-11.7258,18.1499
1.01229,-0.0253199,-0.901336,-11.3979,18.1518
1.02974,-0.026071,-0.910834,-11.0663,18.1535
1.0472,-0.02683,-0.920056,-10.7314,18.1552
1.06465,-0.0275967,-0.928999,-10.3931,18.1567
1.0821,-0.0283709,-0.93766,-10.0515,18.1582
1.09956,-0.0291523,-0.946036,-9.70674,18.1595
1.11701,-0.0299407,-0.954125,-9.35895,18.1608
1.13446,-0.0307358,-0.961924,-9.00822,18.1619
1.15192,-0.0315374,-0.969431,-8.65465,18.163
1.16937,-0.0323452,-0.976643,-8.29834,18.164
1.18682,-0.0331591,-0.983558,-7.9394,18.1648
1.20428,-0.0339787,-0.990175,-7.57795,18.1655
1.22173,-0.0348039,-0.99649,-7.21408,18.1662
1.23918,-0.0356343,-1.0025,-6.84791,18.1667
1.25664,-0.0364697,-1.00821,-6.47955,18.1671
1.27409,-0.0373099,-1.01361,-6.10911,18.1674
1.29154,-0.0381545,-1.0187,-5.73671,18.1676
1.309,-0.0390035,-1.02348,-5.36245,18.1677
1.32645,-0.0398563,-1.02795,-4.98646,18.1676
1.3439,-0.040713,-1.0321,-4.60883,18.1675
1.36136,-0.0415731,-1.03594,-4.2297,18.1672
1.37881,-0.0424363,-1.03947,-3.84918,18.1668
1.39626,-0.0433026,-1.04268,-3.46738,18.1663
1.41372,-0.0441715,-1.04557,-3.08441,18.1657
1.43117,-0.0450428,-1.04814,-2.70041,18.165
