Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0,0.33528,-0.741675,0.708625,0.169773,-0.692964,0.0304356
0,1.00584,-0.538679,0.126527,0.0296518,-0.214453,0.065851
0,1.6764,-0.398438,0.0120698,-0.010724,-0.0813731,0.105619
0,2.34696,-0.00721385,0.0111308,-0.00883971,-0.0215848,0.14623
0,3.01752,0.215549,0.011204,-0.00845636,0.0121456,0.187137
0,3.68808,0.35781,0.0114416,-0.00822128,0.0337595,0.228179
0,4.35864,0.456079,0.0117104,-0.00800508,0.0487786,0.269296
0,5.0292,0.530417,0.0119229,-0.00776969,0.0598171,0.310458
0,5.69976,0.596643,0.0119942,-0.00742348,0.0682704,0.351649
0,6.37032,0.652642,0.0120703,-0.00695058,0.0749507,0.392859
0.0174533,0.33528,-0.74172,0.708058,0.169638,-0.692517,0.0304489
0.0174533,1.00584,-0.538748,0.126469,0.0296501,-0.214378,0.0658695
0.0174533,1.6764,-0.398354,0.0120694,-0.0107233,-0.0813601,0.105638
0.0174533,2.34696,-0.00725272,0.0111308,-0.0088398,-0.0215907,0.14625
0.0174533,3.01752,0.215457,0.0112039,-0.0084565,0.0121317,0.187156
0.0174533,3.68808,0.357691,0.0114413,-0.00822149,0.0337414,0.228199
0.0174533,4.35864,0.455945,0.01171,-0.00800538,0.0487581,0.269316
0.0174533,5.0292,0.530279,0.0119223,-0.00777015,0.0597951,0.310478
0.0174533,5.69976,0.596496,0.0119935,-0.00742408,0.0682474,0.351669
0.0174533,6.37032,0.652489,0.0120695,-0.0069517,0.074927,0.392879
0.0349066,0.33528,-0.741765,0.707491,0.169502,-0.69207,0.0304622
0.0349066,1.00584,-0.538818,0.12641,0.0296485,-0.214303,0.065888
0.0349066,1.6764,-0.398268,0.012069,-0.0107226,-0.0813467,0.105657
0.0349066,2.34696,-0.00728962,0.0111309,-0.00883989,-0.0215963,0.146269
0.0349066,3.01752,0.215367,0.0112039,-0.00845663,0.012118,0.187176
0.0349066,3.68808,0.357574,0.0114411,-0.00822169,0.0337236,0.228219
0.0349066,4.35864,0.455813,0.0117096,-0.00800568,0.0487379,0.269336
0.0349066,5.0292,0.530142,0.0119217,-0.00777059,0.0597733,0.310498
0.0349066,5.69976,0.59635,0.0119928,-0.00742467,0.0682246,0.351689
0.0349066,6.37032,0.652337,0.0120686,-0.00695281,0.0749034,0.392899
0.0523599,0.33528,-0.741809,0.706924,0.169366,-0.691623,0.0304755
0.0523599,1.00584,-0.538889,0.126351,0.0296468,-0.214227,0.0659065
0.0523599,1.6764,-0.39818,0.0120686,-0.0107219,-0.081333,0.105677
0.0523599,2.34696,-0.00732455,0.0111309,-0.00883998,-0.0216016,0.146289
0.0523599,3.01752,0.215278,0.0112038,-0.00845676,0.0121046,0.187196
0.0523599,3.68808,0.357458,0.0114409,-0.00822188,0.033706,0.228239
0.0523599,4.35864,0.455682,0.0117092,-0.00800597,0.0487179,0.269356
0.0523599,5.0292,0.530006,0.0119211,-0.00777104,0.0597518,0.310518
0.0523599,5.69976,0.596205,0.0119922,-0.00742525,0.068202,0.351709
0.0523599,6.37032,0.652186,0.0120677,-0.0069539,0.0748801,0.39292
0.0698132,0.33528,-0.741854,0.706357,0.16923,-0.691176,0.0304888
0.0698132,1.00584,-0.538959,0.126292,0.0296452,-0.214151,0.0659251
0.0698132,1.6764,-0.398089,0.0120682,-0.0107212,-0.081319,0.105696
0.0698132,2.34696,-0.00735751,0.0111309,-0.00884006,-0.0216066,0.146309
0.0698132,3.01752,0.215191,0.0112037,-0.00845689,0.0120914,0.187216
0.0698132,3.68808,0.357344,0.0114407,-0.00822208,0.0336887,0.228259
0.0698132,4.35864,0.455552,0.0117089,-0.00800626,0.048698,0.269377
0.0698132,5.0292,0.529872,0.0119205,-0.00777148,0.0597304,0.310539
0.0698132,5.69976,0.596062,0.0119916,-0.00742583,0.0681796,0.35173
0.0698132,6.37032,0.652037,0.0120669,-0.00695499,0.0748569,0.392941
0.0872665,0.33528,-0.741899,0.70579,0.169095,-0.690729,0.0305021
0.0872665,1.00584,-0.539031,0.126233,0.0296435,-0.214074,0.0659436
0.0872665,1.6764,-0.397996,0.0120678,-0.0107204,-0.0813045,0.105715
0.0872665,2.34696,-0.00738851,0.0111309,-0.00884014,-0.0216113,0.146328
0.0872665,3.01752,0.215106,0.0112036,-0.00845702,0.0120786,0.187236
0.0872665,3.68808,0.357232,0.0114405,-0.00822227,0.0336715,0.228279
0.0872665,4.35864,0.455424,0.0117085,-0.00800655,0.0486784,0.269397
0.0872665,5.0292,0.529739,0.0119199,-0.00777191,0.0597092,0.310559
0.0872665,5.69976,0.595919,0.0119909,-0.0074264,0.0681573,0.35175
0.0872665,6.37032,0.651889,0.012066,-0.00695606,0.0748339,0.392961
0.10472,0.33528,-0.741944,0.705224,0.168959,-0.690283,0.0305153
0.10472,1.00584,-0.539102,0.126173,0.0296418,-0.213997,0.0659622
0.10472,1.6764,-0.397901,0.0120674,-0.0107197,-0.0812898,0.105735
0.10472,2.34696,-0.00741756,0.011131,-0.00884021,-0.0216157,0.146348
0.10472,3.01752,0.215023,0.0112035,-0.00845714,0.0120659,0.187256
0.10472,3.68808,0.35712,0.0114403,-0.00822246,0.0336546,0.2283
0.10472,4.35864,0.455297,0.0117082,-0.00800683,0.0486591,0.269418
0.10472,5.0292,0.529607,0.0119193,-0.00777234,0.0596882,0.31058
0.10472,5.69976,0.595779,0.0119903,-0.00742697,0.0681353,0.351772
0.10472,6.37032,0.651743,0.0120652,-0.00695713,0.0748111,0.392983
0.122173,0.33528,-0.741989,0.704658,0.168824,-0.689837,0.0305285
0.122173,1.00584,-0.539174,0.126113,0.0296401,-0.21392,0.0659807
0.122173,1.6764,-0.397803,0.012067,-0.0107189,-0.0812747,0.105754
0.122173,2.34696,-0.00744467,0.011131,-0.00884028,-0.0216198,0.146368
0.122173,3.01752,0.214941,0.0112034,-0.00845727,0.0120536,0.187276
0.122173,3.68808,0.357011,0.0114401,-0.00822265,0.033638,0.22832
0.122173,4.35864,0.455172,0.0117078,-0.00800711,0.0486399,0.269438
0.122173,5.0292,0.529477,0.0119187,-0.00777276,0.0596675,0.310601
0.122173,5.69976,0.595639,0.0119897,-0.00742753,0.0681134,0.351793
0.122173,6.37032,0.651597,0.0120644,-0.00695818,0.0747885,0.393004
0.139626,0.33528,-0.742033,0.704093,0.168688,-0.689391,0.0305417
0.139626,1.00584,-0.539246,0.126053,0.0296385,-0.213843,0.0659993
0.139626,1.6764,-0.397704,0.0120666,-0.0107181,-0.0812593,0.105774
0.139626,2.34696,-0.00746985,0.011131,-0.00884034,-0.0216236,0.146388
0.139626,3.01752,0.214862,0.0112033,-0.00845739,0.0120415,0.187297
0.139626,3.68808,0.356903,0.0114398,-0.00822283,0.0336216,0.228341
0.139626,4.35864,0.455048,0.0117075,-0.00800739,0.048621,0.269459
0.139626,5.0292,0.529348,0.0119181,-0.00777318,0.0596469,0.310622
0.139626,5.69976,0.595501,0.011989,-0.00742808,0.0680918,0.351814
0.139626,6.37032,0.651454,0.0120635,-0.00695922,0.0747661,0.393026
0.15708,0.33528,-0.742078,0.703529,0.168553,-0.688946,0.0305549
0.15708,1.00584,-0.539318,0.125992,0.0296368,-0.213765,0.0660178
0.15708,1.6764,-0.397602,0.0120661,-0.0107173,-0.0812436,0.105794
0.15708,2.34696,-0.00749311,0.011131,-0.0088404,-0.0216271,0.146408
0.15708,3.01752,0.214784,0.0112033,-0.0084575,0.0120297,0.187317
0.15708,3.68808,0.356797,0.0114396,-0.00822301,0.0336054,0.228362
0.15708,4.35864,0.454926,0.0117071,-0.00800766,0.0486023,0.26948
0.15708,5.0292,0.529221,0.0119175,-0.00777359,0.0596266,0.310644
0.15708,5.69976,0.595365,0.0119884,-0.00742862,0.0680704,0.351836
0.15708,6.37032,0.651311,0.0120627,-0.00696025,0.0747438,0.393048
0.174533,0.33528,-0.742123,0.702966,0.168419,-0.688503,0.030568
0.174533,1.00584,-0.539391,0.125932,0.0296351,-0.213686,0.0660364
0.174533,1.6764,-0.397499,0.0120657,-0.0107165,-0.0812276,0.105813
0.174533,2.34696,-0.00751447,0.011131,-0.00884045,-0.0216304,0.146428
0.174533,3.01752,0.214707,0.0112032,-0.00845762,0.0120181,0.187337
0.174533,3.68808,0.356692,0.0114394,-0.00822319,0.0335895,0.228383
0.174533,4.35864,0.454805,0.0117068,-0.00800793,0.0485838,0.269502
0.174533,5.0292,0.529095,0.011917,-0.00777399,0.0596065,0.310665
0.174533,5.69976,0.59523,0.0119878,-0.00742916,0.0680492,0.351858
0.174533,6.37032,0.65117,0.0120619,-0.00696127,0.0747218,0.39307
0.191986,0.33528,-0.742167,0.702404,0.168284,-0.68806,0.0305811
0.191986,1.00584,-0.539464,0.125871,0.0296333,-0.213608,0.0660549
0.191986,1.6764,-0.397394,0.0120652,-0.0107156,-0.0812112,0.105833
0.191986,2.34696,-0.00753395,0.0111311,-0.0088405,-0.0216333,0.146448
0.191986,3.01752,0.214633,0.0112031,-0.00845773,0.0120068,0.187358
0.191986,3.68808,0.356589,0.0114393,-0.00822336,0.0335739,0.228404
0.191986,4.35864,0.454686,0.0117065,-0.0080082,0.0485656,0.269523
0.191986,5.0292,0.528971,0.0119164,-0.0077744,0.0595866,0.310687
0.191986,5.69976,0.595096,0.0119872,-0.0074297,0.0680282,0.35188
0.191986,6.37032,0.651031,0.0120611,-0.00696228,0.0747,0.393092
0.20944,0.33528,-0.742211,0.701844,0.16815,-0.687618,0.0305942
0.20944,1.00584,-0.539537,0.12581,0.0296316,-0.21353,0.0660733
0.20944,1.6764,-0.397286,0.0120647,-0.0107147,-0.0811946,0.105852
0.20944,2.34696,-0.00755157,0.0111311,-0.00884054,-0.021636,0.146469
0.20944,3.01752,0.21456,0.011203,-0.00845784,0.0119958,0.187379
0.20944,3.68808,0.356488,0.0114391,-0.00822354,0.0335585,0.228425
0.20944,4.35864,0.454568,0.0117061,-0.00800846,0.0485476,0.269544
0.20944,5.0292,0.528848,0.0119158,-0.00777479,0.059567,0.310709
0.20944,5.69976,0.594964,0.0119866,-0.00743022,0.0680074,0.351902
0.20944,6.37032,0.650893,0.0120603,-0.00696328,0.0746785,0.393115
0.226893,0.33528,-0.742255,0.701286,0.168016,-0.687178,0.0306072
0.226893,1.00584,-0.53961,0.125749,0.0296299,-0.213451,0.0660918
0.226893,1.6764,-0.397177,0.0120642,-0.0107139,-0.0811777,0.105872
0.226893,2.34696,-0.00756734,0.0111311,-0.00884058,-0.0216384,0.146489
0.226893,3.01752,0.214489,0.011203,-0.00845794,0.011985,0.187399
0.226893,3.68808,0.356389,0.0114389,-0.00822371,0.0335433,0.228446
0.226893,4.35864,0.454452,0.0117058,-0.00800872,0.0485299,0.269566
0.226893,5.0292,0.528727,0.0119153,-0.00777518,0.0595476,0.31073
0.226893,5.69976,0.594834,0.011986,-0.00743074,0.0679869,0.351924
0.226893,6.37032,0.650756,0.0120595,-0.00696426,0.0746571,0.393137
0.244346,0.33528,-0.742299,0.700729,0.167883,-0.686739,0.0306201
0.244346,1.00584,-0.539683,0.125688,0.0296282,-0.213372,0.0661102
0.244346,1.6764,-0.397067,0.0120638,-0.010713,-0.0811606,0.105891
0.244346,2.34696,-0.00758129,0.0111311,-0.00884062,-0.0216405,0.146509
0.244346,3.01752,0.21442,0.0112029,-0.00845805,0.0119745,0.18742
0.244346,3.68808,0.356291,0.0114387,-0.00822387,0.0335285,0.228467
0.244346,4.35864,0.454338,0.0117055,-0.00800898,0.0485124,0.269587
0.244346,5.0292,0.528608,0.0119147,-0.00777557,0.0595284,0.310752
0.244346,5.69976,0.594705,0.0119854,-0.00743125,0.0679665,0.351946
0.244346,6.37032,0.650621,0.0120587,-0.00696523,0.074636,0.39316
0.261799,0.33528,-0.742343,0.700175,0.16775,-0.686302,0.030633
0.261799,1.00584,-0.539757,0.125627,0.0296265,-0.213293,0.0661285
0.261799,1.6764,-0.396954,0.0120633,-0.0107121,-0.0811432,0.105911
0.261799,2.34696,-0.00759345,0.0111311,-0.00884065,-0.0216423,0.146529
0.261799,3.01752,0.214352,0.0112028,-0.00845815,0.0119643,0.187441
0.261799,3.68808,0.356194,0.0114385,-0.00822404,0.0335138,0.228488
0.261799,4.35864,0.454225,0.0117052,-0.00800923,0.0484951,0.269609
0.261799,5.0292,0.52849,0.0119142,-0.00777595,0.0595095,0.310775
0.261799,5.69976,0.594578,0.0119848,-0.00743175,0.0679465,0.351969
0.261799,6.37032,0.650488,0.0120579,-0.00696619,0.0746151,0.393183
0.279253,0.33528,-0.742387,0.699622,0.167618,-0.685867,0.0306459
0.279253,1.00584,-0.53983,0.125565,0.0296248,-0.213214,0.0661468
0.279253,1.6764,-0.39684,0.0120628,-0.0107112,-0.0811255,0.10593
0.279253,2.34696,-0.00760384,0.0111311,-0.00884067,-0.0216439,0.146549
0.279253,3.01752,0.214287,0.0112028,-0.00845825,0.0119543,0.187461
0.279253,3.68808,0.3561,0.0114383,-0.0082242,0.0334994,0.228509
0.279253,4.35864,0.454114,0.0117048,-0.00800948,0.0484781,0.269631
0.279253,5.0292,0.528373,0.0119136,-0.00777632,0.0594908,0.310797
0.279253,5.69976,0.594452,0.0119842,-0.00743225,0.0679266,0.351992
0.279253,6.37032,0.650356,0.0120571,-0.00696714,0.0745944,0.393206
0.296706,0.33528,-0.742431,0.699072,0.167487,-0.685433,0.0306586
0.296706,1.00584,-0.539903,0.125504,0.029623,-0.213135,0.066165
0.296706,1.6764,-0.396725,0.0120622,-0.0107102,-0.0811076,0.10595
0.296706,2.34696,-0.00761249,0.0111311,-0.00884069,-0.0216452,0.146569
0.296706,3.01752,0.214223,0.0112027,-0.00845834,0.0119446,0.187482
0.296706,3.68808,0.356007,0.0114382,-0.00822436,0.0334853,0.22853
0.296706,4.35864,0.454004,0.0117045,-0.00800973,0.0484614,0.269652
0.296706,5.0292,0.528258,0.0119131,-0.00777669,0.0594724,0.310819
0.296706,5.69976,0.594328,0.0119836,-0.00743274,0.067907,0.352014
0.296706,6.37032,0.650226,0.0120564,-0.00696808,0.074574,0.39323
0.314159,0.33528,-0.742474,0.698525,0.167356,-0.685001,0.0306713
0.314159,1.00584,-0.539977,0.125443,0.0296213,-0.213056,0.0661831
0.314159,1.6764,-0.396608,0.0120617,-0.0107093,-0.0810895,0.105969
0.314159,2.34696,-0.00761942,0.0111311,-0.00884071,-0.0216463,0.146589
0.314159,3.01752,0.21416,0.0112026,-0.00845843,0.0119352,0.187503
