Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0,0.33528,0,-7.31593,-6.07465,9.50917
0,1.00584,0,-7.76612,-1.69148,7.94819
0,1.6764,0,-1.94403,-0.158542,1.95049
0,2.34696,0,-3.44715,-0.0744177,3.44795
0,3.01752,0,-5.68356,0.0690336,5.68398
0,3.68808,0,-8.62486,0.291281,8.62977
0,4.35864,0,-12.2878,0.59986,12.3025
0,5.0292,0,-16.6178,0.995213,16.6475
0,5.69976,0,-21.4356,1.4657,21.4857
0,6.37032,0,-26.9112,2.0208,26.987
0.0174533,0.33528,0,-7.31919,-6.07183,9.50987
0.0174533,1.00584,0,-7.76704,-1.69107,7.949
0.0174533,1.6764,0,-1.94468,-0.15857,1.95114
0.0174533,2.34696,0,-3.44807,-0.074458,3.44888
0.0174533,3.01752,0,-5.68471,0.0689683,5.68513
0.0174533,3.68808,0,-8.62618,0.29117,8.63109
0.0174533,4.35864,0,-12.2893,0.599677,12.3039
0.0174533,5.0292,0,-16.619,0.994924,16.6488
0.0174533,5.69976,0,-21.4369,1.46529,21.4869
0.0174533,6.37032,0,-26.912,2.02022,26.9877
0.0349066,0.33528,0,-7.32243,-6.06899,9.51055
0.0349066,1.00584,0,-7.76794,-1.69065,7.94979
0.0349066,1.6764,0,-1.94533,-0.158597,1.95179
0.0349066,2.34696,0,-3.44901,-0.0744974,3.44981
0.0349066,3.01752,0,-5.68586,0.0689046,5.68628
0.0349066,3.68808,0,-8.62752,0.291062,8.63243
0.0349066,4.35864,0,-12.2907,0.599498,12.3053
0.0349066,5.0292,0,-16.6204,0.994639,16.6501
0.0349066,5.69976,0,-21.4382,1.46489,21.4882
0.0349066,6.37032,0,-26.9129,2.01965,26.9886
0.0523599,0.33528,0,-7.32565,-6.06614,9.51122
0.0523599,1.00584,0,-7.76882,-1.69023,7.95056
0.0523599,1.6764,0,-1.94599,-0.158623,1.95244
0.0523599,2.34696,0,-3.44994,-0.0745359,3.45075
0.0523599,3.01752,0,-5.68702,0.0688424,5.68744
0.0523599,3.68808,0,-8.62887,0.290955,8.63378
0.0523599,4.35864,0,-12.2922,0.599323,12.3068
0.0523599,5.0292,0,-16.6217,0.994359,16.6514
0.0523599,5.69976,0,-21.4396,1.46449,21.4895
0.0523599,6.37032,0,-26.9139,2.01909,26.9895
0.0698132,0.33528,0,-7.32887,-6.06329,9.51188
0.0698132,1.00584,0,-7.76968,-1.6898,7.95131
0.0698132,1.6764,0,-1.94664,-0.158648,1.95309
0.0698132,2.34696,0,-3.45088,-0.0745734,3.45169
0.0698132,3.01752,0,-5.68819,0.0687818,5.68861
0.0698132,3.68808,0,-8.63024,0.290851,8.63514
0.0698132,4.35864,0,-12.2937,0.599151,12.3082
0.0698132,5.0292,0,-16.6231,0.994085,16.6528
0.0698132,5.69976,0,-21.441,1.46411,21.4909
0.0698132,6.37032,0,-26.9148,2.01853,26.9904
0.0872665,0.33528,0,-7.33207,-6.06042,9.51251
0.0872665,1.00584,0,-7.77053,-1.68936,7.95205
0.0872665,1.6764,0,-1.94729,-0.158673,1.95375
0.0872665,2.34696,0,-3.45182,-0.07461,3.45263
0.0872665,3.01752,0,-5.68937,0.0687227,5.68979
0.0872665,3.68808,0,-8.63162,0.29075,8.63651
0.0872665,4.35864,0,-12.2952,0.598982,12.3097
0.0872665,5.0292,0,-16.6245,0.993815,16.6541
0.0872665,5.69976,0,-21.4424,1.46372,21.4923
0.0872665,6.37032,0,-26.9159,2.01799,26.9914
0.10472,0.33528,0,-7.33526,-6.05754,9.51314
0.10472,1.00584,0,-7.77136,-1.68891,7.95276
0.10472,1.6764,0,-1.94794,-0.158698,1.9544
0.10472,2.34696,0,-3.45277,-0.0746457,3.45358
0.10472,3.01752,0,-5.69056,0.0686652,5.69097
0.10472,3.68808,0,-8.63301,0.290651,8.6379
0.10472,4.35864,0,-12.2967,0.598818,12.3113
0.10472,5.0292,0,-16.6259,0.99355,16.6556
0.10472,5.69976,0,-21.4439,1.46335,21.4937
0.10472,6.37032,0,-26.917,2.01745,26.9925
0.122173,0.33528,0,-7.33843,-6.05466,9.51375
0.122173,1.00584,0,-7.77217,-1.68846,7.95346
0.122173,1.6764,0,-1.9486,-0.158721,1.95505
0.122173,2.34696,0,-3.45372,-0.0746803,3.45452
0.122173,3.01752,0,-5.69175,0.0686092,5.69216
0.122173,3.68808,0,-8.63441,0.290554,8.6393
0.122173,4.35864,0,-12.2982,0.598656,12.3128
0.122173,5.0292,0,-16.6273,0.99329,16.657
0.122173,5.69976,0,-21.4454,1.46298,21.4952
0.122173,6.37032,0,-26.9181,2.01692,26.9935
