Azimuth Angle,Radius Location,Lift_X,Lift_Y,Lift_Z,Lift_Mag
0,0.33528,0,6.35797,-7.65715,9.95267
0,1.00584,0,7.20136,-33.0637,33.8389
0,1.6764,0,5.23366,-64.1749,64.3879
0,2.34696,0,0.0482299,-2.23409,2.23461
0,3.01752,0,1.3281,109.343,109.351
0,3.68808,0,9.1092,269.724,269.877
0,4.35864,0,23.3625,478.57,479.14
0,5.0292,0,44.2742,739.277,740.601
0,5.69976,0,72.9103,1066.3,1068.79
0,6.37032,0,109.264,1455.09,1459.18
0.0174533,0.33528,0,6.36049,-7.66714,9.96197
0.0174533,1.00584,0,7.20386,-33.0871,33.8622
0.0174533,1.6764,0,5.23363,-64.1848,64.3978
0.0174533,2.34696,0,0.048516,-2.24673,2.24725
0.0174533,3.01752,0,1.32629,109.319,109.327
0.0174533,3.68808,0,9.10288,269.681,269.835
0.0174533,4.35864,0,23.3493,478.5,479.07
0.0174533,5.0292,0,44.2521,739.179,740.503
0.0174533,5.69976,0,72.8761,1066.16,1068.65
0.0174533,6.37032,0,109.215,1454.9,1458.99
0.0349066,0.33528,0,6.363,-7.67715,9.97128
0.0349066,1.00584,0,7.20634,-33.1105,33.8857
0.0349066,1.6764,0,5.23356,-64.1944,64.4074
0.0349066,2.34696,0,0.0487885,-2.25876,2.25929
0.0349066,3.01752,0,1.32452,109.297,109.305
0.0349066,3.68808,0,9.09667,269.64,269.793
0.0349066,4.35864,0,23.3363,478.433,479.001
0.0349066,5.0292,0,44.2303,739.085,740.407
0.0349066,5.69976,0,72.8422,1066.03,1068.51
0.0349066,6.37032,0,109.167,1454.71,1458.8
0.0523599,0.33528,0,6.3655,-7.68716,9.98058
0.0523599,1.00584,0,7.20883,-33.134,33.9091
0.0523599,1.6764,0,5.23343,-64.2037,64.4167
0.0523599,2.34696,0,0.0490475,-2.27019,2.27072
0.0523599,3.01752,0,1.32279,109.275,109.283
0.0523599,3.68808,0,9.09058,269.6,269.753
0.0523599,4.35864,0,23.3235,478.367,478.935
0.0523599,5.0292,0,44.2088,738.993,740.314
0.0523599,5.69976,0,72.8089,1065.89,1068.38
0.0523599,6.37032,0,109.119,1454.53,1458.62
0.0698132,0.33528,0,6.36799,-7.69718,9.98989
0.0698132,1.00584,0,7.21131,-33.1576,33.9327
0.0698132,1.6764,0,5.23325,-64.2127,64.4256
0.0698132,2.34696,0,0.0492929,-2.28103,2.28156
0.0698132,3.01752,0,1.32111,109.254,109.262
0.0698132,3.68808,0,9.0846,269.561,269.714
0.0698132,4.35864,0,23.3109,478.303,478.871
0.0698132,5.0292,0,44.1876,738.904,740.224
0.0698132,5.69976,0,72.776,1065.76,1068.24
0.0698132,6.37032,0,109.072,1454.35,1458.44
0.0872665,0.33528,0,6.37047,-7.70719,9.99919
0.0872665,1.00584,0,7.21378,-33.1812,33.9563
0.0872665,1.6764,0,5.23303,-64.2214,64.4343
0.0872665,2.34696,0,0.0495248,-2.29126,2.29179
0.0872665,3.01752,0,1.31946,109.235,109.243
0.0872665,3.68808,0,9.07873,269.524,269.677
0.0872665,4.35864,0,23.2985,478.242,478.809
0.0872665,5.0292,0,44.1667,738.818,740.137
0.0872665,5.69976,0,72.7435,1065.64,1068.12
0.0872665,6.37032,0,109.025,1454.18,1458.26
0.10472,0.33528,0,6.37295,-7.7172,10.0085
0.10472,1.00584,0,7.21624,-33.2048,33.9799
0.10472,1.6764,0,5.23276,-64.2298,64.4426
0.10472,2.34696,0,0.0497431,-2.30089,2.30143
0.10472,3.01752,0,1.31786,109.216,109.224
0.10472,3.68808,0,9.07298,269.489,269.642
0.10472,4.35864,0,23.2863,478.183,478.749
0.10472,5.0292,0,44.1462,738.734,740.052
0.10472,5.69976,0,72.7116,1065.51,1067.99
0.10472,6.37032,0,108.98,1454.01,1458.09
0.122173,0.33528,0,6.37541,-7.7272,10.0178
0.122173,1.00584,0,7.2187,-33.2285,34.0036
0.122173,1.6764,0,5.23244,-64.2379,64.4506
0.122173,2.34696,0,0.049948,-2.30993,2.31047
0.122173,3.01752,0,1.31629,109.198,109.206
0.122173,3.68808,0,9.06735,269.455,269.608
0.122173,4.35864,0,23.2743,478.125,478.691
0.122173,5.0292,0,44.126,738.653,739.97
0.122173,5.69976,0,72.6801,1065.39,1067.87
0.122173,6.37032,0,108.934,1453.85,1457.92
0.139626,0.33528,0,6.37787,-7.73719,10.027
0.139626,1.00584,0,7.22114,-33.2522,34.0272
0.139626,1.6764,0,5.23208,-64.2456,64.4583
0.139626,2.34696,0,0.0501395,-2.31837,2.31892
0.139626,3.01752,0,1.31477,109.181,109.189
0.139626,3.68808,0,9.06183,269.423,269.575
0.139626,4.35864,0,23.2625,478.07,478.635
0.139626,5.0292,0,44.1061,738.576,739.891
0.139626,5.69976,0,72.649,1065.28,1067.75
0.139626,6.37032,0,108.89,1453.69,1457.76
0.15708,0.33528,0,6.38031,-7.74717,10.0363
0.15708,1.00584,0,7.22358,-33.2759,34.0509
0.15708,1.6764,0,5.23166,-64.2531,64.4657
0.15708,2.34696,0,0.0503176,-2.32623,2.32677
0.15708,3.01752,0,1.31329,109.165,109.173
0.15708,3.68808,0,9.05643,269.391,269.544
0.15708,4.35864,0,23.251,478.016,478.582
0.15708,5.0292,0,44.0865,738.5,739.815
0.15708,5.69976,0,72.6185,1065.17,1067.64
0.15708,6.37032,0,108.846,1453.54,1457.61
0.174533,0.33528,0,6.38273,-7.75713,10.0455
0.174533,1.00584,0,7.226,-33.2996,34.0746
0.174533,1.6764,0,5.23121,-64.2602,64.4728
0.174533,2.34696,0,0.0504824,-2.3335,2.33405
0.174533,3.01752,0,1.31184,109.151,109.158
0.174533,3.68808,0,9.05114,269.362,269.514
0.174533,4.35864,0,23.2397,477.965,478.53
0.174533,5.0292,0,44.0673,738.428,739.742
0.174533,5.69976,0,72.5884,1065.06,1067.53
0.174533,6.37032,0,108.802,1453.39,1457.46
0.191986,0.33528,0,6.38515,-7.76706,10.0547
0.191986,1.00584,0,7.22842,-33.3234,34.0983
0.191986,1.6764,0,5.23071,-64.267,64.4795
0.191986,2.34696,0,0.0506341,-2.34019,2.34074
0.191986,3.01752,0,1.31044,109.137,109.145
0.191986,3.68808,0,9.04597,269.334,269.485
0.191986,4.35864,0,23.2285,477.916,478.48
0.191986,5.0292,0,44.0484,738.358,739.671
0.191986,5.69976,0,72.5589,1064.95,1067.42
0.191986,6.37032,0,108.76,1453.24,1457.31
0.20944,0.33528,0,6.38755,-7.77698,10.0639
0.20944,1.00584,0,7.23082,-33.3471,34.122
0.20944,1.6764,0,5.23016,-64.2735,64.4859
0.20944,2.34696,0,0.0507727,-2.34631,2.34686
0.20944,3.01752,0,1.30909,109.124,109.132
0.20944,3.68808,0,9.04092,269.307,269.458
0.20944,4.35864,0,23.2176,477.868,478.432
0.20944,5.0292,0,44.0299,738.291,739.603
0.20944,5.69976,0,72.5298,1064.85,1067.32
0.20944,6.37032,0,108.718,1453.11,1457.17
0.226893,0.33528,0,6.38993,-7.78687,10.0731
0.226893,1.00584,0,7.23321,-33.3708,34.1457
0.226893,1.6764,0,5.22957,-64.2797,64.4921
0.226893,2.34696,0,0.0508984,-2.35186,2.35241
0.226893,3.01752,0,1.30777,109.112,109.119
0.226893,3.68808,0,9.03598,269.281,269.433
0.226893,4.35864,0,23.2069,477.823,478.386
0.226893,5.0292,0,44.0117,738.227,739.538
0.226893,5.69976,0,72.5012,1064.76,1067.22
0.226893,6.37032,0,108.677,1452.97,1457.03
0.244346,0.33528,0,6.3923,-7.79673,10.0822
0.244346,1.00584,0,7.23558,-33.3944,34.1693
0.244346,1.6764,0,5.22894,-64.2856,64.4979
0.244346,2.34696,0,0.0510113,-2.35684,2.3574
0.244346,3.01752,0,1.30649,109.1,109.108
0.244346,3.68808,0,9.03116,269.257,269.409
0.244346,4.35864,0,23.1964,477.78,478.342
0.244346,5.0292,0,43.9938,738.166,739.475
0.244346,5.69976,0,72.4731,1064.66,1067.13
0.244346,6.37032,0,108.636,1452.84,1456.9
0.261799,0.33528,0,6.39465,-7.80656,10.0913
0.261799,1.00584,0,7.23794,-33.4181,34.1929
0.261799,1.6764,0,5.22827,-64.2911,64.5034
0.261799,2.34696,0,0.0511115,-2.36127,2.36183
0.261799,3.01752,0,1.30525,109.09,109.098
0.261799,3.68808,0,9.02646,269.234,269.386
0.261799,4.35864,0,23.1861,477.738,478.3
0.261799,5.0292,0,43.9763,738.107,739.415
0.261799,5.69976,0,72.4455,1064.57,1067.03
0.261799,6.37032,0,108.596,1452.71,1456.77
0.279253,0.33528,0,6.39698,-7.81634,10.1003
0.279253,1.00584,0,7.24028,-33.4417,34.2165
0.279253,1.6764,0,5.22755,-64.2964,64.5086
0.279253,2.34696,0,0.0511992,-2.36515,2.36571
0.279253,3.01752,0,1.30405,109.081,109.089
0.279253,3.68808,0,9.02186,269.213,269.364
0.279253,4.35864,0,23.1761,477.698,478.26
0.279253,5.0292,0,43.9591,738.05,739.358
0.279253,5.69976,0,72.4183,1064.49,1066.95
0.279253,6.37032,0,108.557,1452.59,1456.64
0.296706,0.33528,0,6.3993,-7.82609,10.1093
0.296706,1.00584,0,7.24261,-33.4652,34.24
0.296706,1.6764,0,5.2268,-64.3013,64.5134
0.296706,2.34696,0,0.0512746,-2.36849,2.36905
0.296706,3.01752,0,1.30289,109.072,109.08
0.296706,3.68808,0,9.01739,269.193,269.344
0.296706,4.35864,0,23.1662,477.661,478.222
0.296706,5.0292,0,43.9422,737.996,739.303
0.296706,5.69976,0,72.3917,1064.4,1066.86
0.296706,6.37032,0,108.518,1452.48,1456.52
0.314159,0.33528,0,6.40159,-7.8358,10.1183
0.314159,1.00584,0,7.24492,-33.4887,34.2634
0.314159,1.6764,0,5.226,-64.306,64.518
0.314159,2.34696,0,0.0513379,-2.3713,2.37186
0.314159,3.01752,0,1.30177,109.065,109.073
0.314159,3.68808,0,9.01303,269.174,269.325
0.314159,4.35864,0,23.1566,477.625,478.186
0.314159,5.0292,0,43.9257,737.945,739.251
0.314159,5.69976,0,72.3656,1064.32,1066.78
0.314159,6.37032,0,108.48,1452.36,1456.41
0.331613,0.33528,0,6.40387,-7.84546,10.1272
0.331613,1.00584,0,7.24721,-33.5121,34.2868
0.331613,1.6764,0,5.22517,-64.3103,64.5223
0.331613,2.34696,0,0.0513892,-2.37359,2.37414
0.331613,3.01752,0,1.30069,109.058,109.066
0.331613,3.68808,0,9.00878,269.157,269.308
0.331613,4.35864,0,23.1472,477.59,478.151
0.331613,5.0292,0,43.9095,737.896,739.201
0.331613,5.69976,0,72.3399,1064.25,1066.7
0.331613,6.37032,0,108.443,1452.25,1456.3
0.349066,0.33528,0,6.40612,-7.85507,10.1361
0.349066,1.00584,0,7.24949,-33.5354,34.3101
