Azimuth Angle,Radius Location,Pitch_X,Pitch_Y,Pitch_Z,Pitch_Mag
0,0.33528,-0.694402,0,0,0.694402
0,1.00584,-0.567743,0,0,0.567743
0,1.6764,0.52822,0,0,0.52822
0,2.34696,0.834617,0,0,0.834617
0,3.01752,1.3076,0,0,1.3076
0,3.68808,1.89003,0,0,1.89003
0,4.35864,2.56332,0,0,2.56332
0,5.0292,3.30663,0,0,3.30663
0,5.69976,4.05324,0,0,4.05324
0,6.37032,4.73665,0,0,4.73665
0.0174533,0.33528,-0.694453,0,0,0.694453
0.0174533,1.00584,-0.56803,0,0,0.56803
0.0174533,1.6764,0.528379,0,0,0.528379
0.0174533,2.34696,0.834848,0,0,0.834848
0.0174533,3.01752,1.3079,0,0,1.3079
0.0174533,3.68808,1.8904,0,0,1.8904
0.0174533,4.35864,2.56379,0,0,2.56379
0.0174533,5.0292,3.30725,0,0,3.30725
0.0174533,5.69976,4.05402,0,0,4.05402
0.0174533,6.37032,4.73789,0,0,4.73789
0.0349066,0.33528,-0.694504,0,0,0.694504
0.0349066,1.00584,-0.568318,0,0,0.568318
0.0349066,1.6764,0.528538,0,0,0.528538
0.0349066,2.34696,0.835081,0,0,0.835081
0.0349066,3.01752,1.3082,0,0,1.3082
0.0349066,3.68808,1.89078,0,0,1.89078
0.0349066,4.35864,2.56427,0,0,2.56427
0.0349066,5.0292,3.30787,0,0,3.30787
0.0349066,5.69976,4.0548,0,0,4.0548
0.0349066,6.37032,4.73913,0,0,4.73913
0.0523599,0.33528,-0.694553,0,0,0.694553
0.0523599,1.00584,-0.568606,0,0,0.568606
0.0523599,1.6764,0.528697,0,0,0.528697
0.0523599,2.34696,0.835313,0,0,0.835313
0.0523599,3.01752,1.3085,0,0,1.3085
0.0523599,3.68808,1.89115,0,0,1.89115
0.0523599,4.35864,2.56475,0,0,2.56475
0.0523599,5.0292,3.30849,0,0,3.30849
0.0523599,5.69976,4.05559,0,0,4.05559
0.0523599,6.37032,4.74037,0,0,4.74037
0.0698132,0.33528,-0.694601,0,0,0.694601
0.0698132,1.00584,-0.568894,0,0,0.568894
0.0698132,1.6764,0.528855,0,0,0.528855
0.0698132,2.34696,0.835547,0,0,0.835547
0.0698132,3.01752,1.30879,0,0,1.30879
0.0698132,3.68808,1.89153,0,0,1.89153
0.0698132,4.35864,2.56522,0,0,2.56522
0.0698132,5.0292,3.30911,0,0,3.30911
0.0698132,5.69976,4.05638,0,0,4.05638
0.0698132,6.37032,4.74161,0,0,4.74161
0.0872665,0.33528,-0.694648,0,0,0.694648
0.0872665,1.00584,-0.569182,0,0,0.569182
0.0872665,1.6764,0.529013,0,0,0.529013
0.0872665,2.34696,0.83578,0,0,0.83578
0.0872665,3.01752,1.30909,0,0,1.30909
0.0872665,3.68808,1.89191,0,0,1.89191
0.0872665,4.35864,2.56571,0,0,2.56571
0.0872665,5.0292,3.30973,0,0,3.30973
0.0872665,5.69976,4.05718,0,0,4.05718
0.0872665,6.37032,4.74285,0,0,4.74285
0.10472,0.33528,-0.694694,0,0,0.694694
0.10472,1.00584,-0.56947,0,0,0.56947
0.10472,1.6764,0.52917,0,0,0.52917
0.10472,2.34696,0.836014,0,0,0.836014
0.10472,3.01752,1.3094,0,0,1.3094
0.10472,3.68808,1.8923,0,0,1.8923
0.10472,4.35864,2.56619,0,0,2.56619
0.10472,5.0292,3.31036,0,0,3.31036
0.10472,5.69976,4.05797,0,0,4.05797
0.10472,6.37032,4.74409,0,0,4.74409
