Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0,0.33528,0.0107492,-6.44948,-6.98773,9.50917
0,1.00584,0.00415714,-7.47466,-2.70243,7.94819
0,1.6764,0.00063674,-1.90606,-0.413926,1.95049
0,2.34696,0.000813873,-3.40712,-0.529075,3.44795
0,3.01752,0.00104954,-5.64288,-0.682273,5.68398
0,3.68808,0.00130827,-8.58776,-0.850467,8.62977
0,4.35864,0.001582,-12.2594,-1.02841,12.3025
0,5.0292,0.00185892,-16.6036,-1.20843,16.6475
0,5.69976,0.00212042,-21.4414,-1.37843,21.4857
0,6.37032,0.00238654,-26.9423,-1.55142,26.987
0.0174533,0.33528,0.123342,-6.44596,-6.99084,9.50987
0.0174533,1.00584,0.134621,-7.47212,-2.7085,7.949
0.0174533,1.6764,0.0339139,-1.90605,-0.41566,1.95114
0.0174533,2.34696,0.0602944,-3.40705,-0.532133,3.44888
0.0174533,3.01752,0.0995556,-5.64255,-0.687285,5.68513
0.0174533,3.68808,0.151216,-8.587,-0.858051,8.63109
0.0174533,4.35864,0.215574,-12.258,-1.0392,12.3039
0.0174533,5.0292,0.29167,-16.6013,-1.223,16.6488
0.0174533,5.69976,0.376368,-21.4381,-1.39722,21.4869
0.0174533,6.37032,0.472637,-26.9376,-1.575,26.9877
0.0349066,0.33528,0.235923,-6.44047,-6.99394,9.51055
0.0349066,1.00584,0.265039,-7.46727,-2.71455,7.94979
0.0349066,1.6764,0.0671973,-1.90545,-0.417393,1.95179
0.0349066,2.34696,0.119781,-3.40594,-0.535192,3.44981
0.0349066,3.01752,0.198061,-5.6405,-0.692296,5.68628
0.0349066,3.68808,0.301111,-8.58364,-0.865634,8.63243
0.0349066,4.35864,0.429535,-12.2529,-1.04998,12.3053
0.0349066,5.0292,0.581419,-16.5939,-1.23756,16.6501
0.0349066,5.69976,0.750526,-21.4284,-1.41601,21.4882
0.0349066,6.37032,0.94275,-26.9247,-1.59857,26.9886
0.0523599,0.33528,0.348456,-6.43301,-6.99702,9.51122
0.0523599,1.00584,0.395369,-7.46013,-2.72059,7.95056
0.0523599,1.6764,0.100477,-1.90427,-0.419125,1.95244
0.0523599,2.34696,0.179256,-3.40379,-0.538249,3.45075
0.0523599,3.01752,0.296537,-5.63674,-0.697306,5.68744
0.0523599,3.68808,0.450948,-8.57766,-0.873212,8.63378
0.0523599,4.35864,0.643401,-12.2441,-1.06076,12.3068
0.0523599,5.0292,0.87102,-16.5814,-1.25211,16.6514
0.0523599,5.69976,1.12448,-21.4121,-1.43479,21.4895
0.0523599,6.37032,1.41258,-26.9036,-1.62212,26.9895
0.0698132,0.33528,0.460906,-6.42356,-7.00009,9.51188
0.0698132,1.00584,0.525571,-7.45069,-2.72662,7.95131
0.0698132,1.6764,0.133742,-1.90252,-0.420856,1.95309
0.0698132,2.34696,0.238701,-3.40061,-0.541304,3.45169
0.0698132,3.01752,0.394952,-5.63126,-0.702311,5.68861
0.0698132,3.68808,0.600684,-8.56907,-0.880785,8.63514
0.0698132,4.35864,0.857107,-12.2315,-1.07153,12.3082
0.0698132,5.0292,1.16038,-16.5639,-1.26665,16.6528
0.0698132,5.69976,1.49812,-21.3893,-1.45354,21.4909
0.0698132,6.37032,1.882,-26.8744,-1.64565,26.9904
0.0872665,0.33528,0.57324,-6.41213,-7.00313,9.51251
0.0872665,1.00584,0.655604,-7.43895,-2.73262,7.95205
0.0872665,1.6764,0.166983,-1.90017,-0.422585,1.95375
0.0872665,2.34696,0.298098,-3.39639,-0.544356,3.45263
0.0872665,3.01752,0.493279,-5.62406,-0.707311,5.68979
0.0872665,3.68808,0.750271,-8.55788,-0.888349,8.63651
0.0872665,4.35864,1.07059,-12.2152,-1.08229,12.3097
0.0872665,5.0292,1.44943,-16.5414,-1.28117,16.6541
0.0872665,5.69976,1.87133,-21.36,-1.47228,21.4923
0.0872665,6.37032,2.35085,-26.837,-1.66915,26.9914
0.10472,0.33528,0.685421,-6.39873,-7.00616,9.51314
0.10472,1.00584,0.785429,-7.42493,-2.73861,7.95276
0.10472,1.6764,0.200189,-1.89725,-0.424311,1.9544
0.10472,2.34696,0.357429,-3.39113,-0.547404,3.45358
0.10472,3.01752,0.591486,-5.61515,-0.712305,5.69097
0.10472,3.68808,0.899667,-8.54408,-0.895902,8.6379
0.10472,4.35864,1.28378,-12.1953,-1.09303,12.3113
0.10472,5.0292,1.73806,-16.5139,-1.29567,16.6556
0.10472,5.69976,2.24401,-21.3242,-1.49098,21.4937
0.10472,6.37032,2.81901,-26.7914,-1.69261,26.9925
0.122173,0.33528,0.797414,-6.38334,-7.00917,9.51375
0.122173,1.00584,0.915004,-7.40861,-2.74457,7.95346
