Azimuth Angle,Radius Location,Moment_X,Moment_Y,Moment_Z,Moment_Mag
0,0.33528,-0.000445701,24.2953,0.289737,24.297
0,1.00584,-0.0062367,93.7944,4.0543,93.882
0,1.6764,-0.0303219,204.621,19.7114,205.568
0,2.34696,0.0110628,144.248,-7.1916,144.427
0,3.01752,0.0871215,-148.322,-56.6351,158.767
0,3.68808,0.199613,-770.767,-129.762,781.614
0,4.35864,0.350749,-1820.65,-228.011,1834.87
0,5.0292,0.544357,-3413.39,-353.87,3431.69
0,5.69976,0.789204,-5736.75,-513.038,5759.64
0,6.37032,1.08605,-8896.12,-706.006,8924.09
0.0174533,0.33528,-0.424503,24.2937,0.293727,24.2992
0.0174533,1.00584,-1.6436,93.7992,4.08845,93.9027
0.0174533,1.6764,-3.60179,204.589,19.8027,205.577
0.0174533,2.34696,-2.50698,144.262,-7.18368,144.463
0.0174533,3.01752,2.6746,-148.178,-56.9111,158.753
0.0174533,3.68808,13.6492,-770.375,-130.608,781.487
0.0174533,4.35864,32.1217,-1819.86,-229.799,1834.59
0.0174533,5.0292,60.1107,-3412.06,-357.074,3431.22
0.0174533,5.69976,100.9,-5734.59,-518.291,5758.85
0.0174533,6.37032,156.332,-8892.89,-714.037,8922.88
0.0349066,0.33528,-0.848512,24.2848,0.29772,24.3014
0.0349066,1.00584,-3.28121,93.7755,4.12265,93.9234
0.0349066,1.6764,-7.17244,204.495,19.8938,205.585
0.0349066,2.34696,-5.02535,144.231,-7.17593,144.497
0.0349066,3.01752,5.25803,-147.991,-57.1871,158.743
0.0349066,3.68808,27.0874,-769.753,-131.454,781.367
0.0349066,4.35864,63.869,-1818.52,-231.585,1834.32
0.0349066,5.0292,119.637,-3409.7,-360.275,3430.76
0.0349066,5.69976,200.946,-5730.71,-523.541,5758.08
0.0349066,6.37032,311.477,-8886.97,-722.062,8921.7
0.0523599,0.33528,-1.27234,24.2684,0.301716,24.3036
0.0523599,1.00584,-4.91855,93.7232,4.15688,93.9442
0.0523599,1.6764,-10.7412,204.337,19.9848,205.593
0.0523599,2.34696,-7.54321,144.154,-7.16836,144.529
0.0523599,3.01752,7.8368,-147.762,-57.463,158.735
0.0523599,3.68808,40.5104,-768.901,-132.299,781.251
0.0523599,4.35864,95.5836,-1816.64,-233.37,1834.06
0.0523599,5.0292,179.105,-3406.31,-363.473,3430.32
0.0523599,5.69976,300.895,-5725.1,-528.786,5757.34
0.0523599,6.37032,466.477,-8878.37,-730.08,8920.55
0.0698132,0.33528,-1.69586,24.2447,0.305713,24.3058
0.0698132,1.00584,-6.55513,93.6423,4.19114,93.9649
0.0698132,1.6764,-14.3068,204.116,20.0755,205.6
0.0698132,2.34696,-10.0597,144.032,-7.16098,144.561
0.0698132,3.01752,10.4103,-147.49,-57.7388,158.731
0.0698132,3.68808,53.9143,-767.821,-133.143,781.142
0.0698132,4.35864,127.256,-1814.22,-235.153,1833.81
0.0698132,5.0292,238.498,-3401.89,-366.668,3429.9
0.0698132,5.69976,400.72,-5717.76,-534.025,5756.61
0.0698132,6.37032,621.284,-8867.1,-738.088,8919.43
0.0872665,0.33528,-2.11895,24.2135,0.30971,24.308
0.0872665,1.00584,-8.19045,93.5328,4.22541,93.9857
0.0872665,1.6764,-17.8684,203.833,20.1659,205.606
0.0872665,2.34696,-12.574,143.865,-7.15379,144.59
0.0872665,3.01752,12.9778,-147.177,-58.0144,158.73
0.0872665,3.68808,67.2954,-766.511,-133.987,781.038
0.0872665,4.35864,158.878,-1811.24,-236.934,1833.57
0.0872665,5.0292,297.798,-3396.45,-369.858,3429.49
0.0872665,5.69976,500.39,-5708.7,-539.256,5755.91
0.0872665,6.37032,775.855,-8853.14,-746.084,8918.34
0.10472,0.33528,-2.54147,24.1749,0.313705,24.3102
0.10472,1.00584,-9.82402,93.3947,4.25969,94.0066
0.10472,1.6764,-21.4246,203.487,20.2561,205.612
0.10472,2.34696,-15.0853,143.652,-7.14679,144.619
0.10472,3.01752,15.5388,-146.821,-58.2897,158.731
0.10472,3.68808,80.6498,-764.972,-134.828,780.939
0.10472,4.35864,190.439,-1807.73,-238.711,1833.34
0.10472,5.0292,356.989,-3389.99,-373.043,3429.09
0.10472,5.69976,599.877,-5697.92,-544.478,5755.23
0.10472,6.37032,930.143,-8836.52,-754.065,8917.28
0.122173,0.33528,-2.96329,24.129,0.317698,24.3124
0.122173,1.00584,-11.4553,93.2281,4.29395,94.0274
0.122173,1.6764,-24.9745,203.079,20.346,205.618
0.122173,2.34696,-17.5927,143.394,-7.13999,144.646
0.122173,3.01752,18.0926,-146.424,-58.5647,158.736
0.122173,3.68808,93.9739,-763.206,-135.669,780.846
0.122173,4.35864,221.931,-1803.67,-240.485,1833.12
0.122173,5.0292,416.052,-3382.51,-376.221,3428.71
