Azimuth Angle,Radius Location,Pitch_X,Pitch_Y,Pitch_Z,Pitch_Mag
0,0.33528,-0.694401,0,-0.00106819,0.694402
0,1.00584,-0.567742,0,-0.000873355,0.567743
0,1.6764,0.528219,0,0.000812557,0.52822
0,2.34696,0.834616,0,0.00128389,0.834617
0,3.01752,1.3076,0,0.00201148,1.3076
0,3.68808,1.89003,0,0.00290742,1.89003
0,4.35864,2.56332,0,0.00394314,2.56332
0,5.0292,3.30663,0,0.00508657,3.30663
0,5.69976,4.05323,0,0.00623506,4.05324
0,6.37032,4.73664,0,0.00728635,4.73665
0.0174533,0.33528,-0.694347,-0.0121199,-0.00107542,0.694453
0.0174533,1.00584,-0.567943,-0.00991348,-0.000879646,0.56803
0.0174533,1.6764,0.528298,0.00922148,0.000818243,0.528379
0.0174533,2.34696,0.83472,0.0145701,0.00129284,0.834848
0.0174533,3.01752,1.3077,0.022826,0.0020254,1.3079
0.0174533,3.68808,1.89011,0.032992,0.00292746,1.8904
0.0174533,4.35864,2.5634,0.0447443,0.00397026,2.56379
0.0174533,5.0292,3.30674,0.0577194,0.00512157,3.30725
0.0174533,5.69976,4.0534,0.0707523,0.00627801,4.05402
0.0174533,6.37032,4.73716,0.0826875,0.00733705,4.73789
0.0349066,0.33528,-0.69408,-0.0242378,-0.00109328,0.694504
0.0349066,1.00584,-0.567971,-0.019834,-0.000894637,0.568318
0.0349066,1.6764,0.528216,0.0184457,0.000832016,0.528538
0.0349066,2.34696,0.834571,0.0291439,0.00131457,0.835081
0.0349066,3.01752,1.3074,0.0456554,0.00205934,1.3082
0.0349066,3.68808,1.88962,0.0659871,0.00297643,1.89078
0.0349066,4.35864,2.5627,0.0894915,0.00403663,2.56427
0.0349066,5.0292,3.30585,0.115443,0.00520719,3.30787
0.0349066,5.69976,4.05233,0.14151,0.00638301,4.0548
0.0349066,6.37032,4.73624,0.165393,0.00746026,4.73913
0.0523599,0.33528,-0.6936,-0.03635,-0.00112175,0.694553
0.0523599,1.00584,-0.567826,-0.0297585,-0.000918338,0.568606
0.0523599,1.6764,0.527972,0.0276698,0.000853882,0.528697
0.0523599,2.34696,0.834168,0.0437169,0.00134909,0.835313
0.0523599,3.01752,1.3067,0.0684813,0.00211331,1.3085
0.0523599,3.68808,1.88856,0.0989753,0.00305435,1.89115
0.0523599,4.35864,2.56123,0.134228,0.00414224,2.56475
0.0523599,5.0292,3.30395,0.173153,0.00534343,3.30849
0.0523599,5.69976,4.05003,0.212253,0.00655006,4.05559
0.0523599,6.37032,4.73387,0.248092,0.00765603,4.74037
0.0698132,0.33528,-0.692908,-0.0484529,-0.00116084,0.694601
0.0698132,1.00584,-0.567507,-0.039684,-0.000950754,0.568894
0.0698132,1.6764,0.527566,0.036891,0.00088384,0.528855
0.0698132,2.34696,0.83351,0.0582847,0.00139639,0.835547
0.0698132,3.01752,1.3056,0.0912968,0.0021873,1.30879
0.0698132,3.68808,1.88692,0.131947,0.00316119,1.89153
0.0698132,4.35864,2.55897,0.178941,0.00428709,2.56522
